nuo_galiojanciu_biuleteniu,apygarda,partija,pastu,apylinkese
"3,86%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,Lietuvos socialdemokratų partija,104,722
"6,95%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,Koalicija Darbo partija + jaunimas,213,1273
"0,91%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,17,177
"3,07%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,Liberalų ir centro sąjunga,71,586
"66,01%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,2942,11170
"0,91%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,24,170
"0,99%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,Naujoji sąjunga (socialliberalai),34,178
"1,93%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,"""Fronto"" partija",47,366
"0,35%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",13,61
"0,34%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,Pilietinės demokratijos partija,14,58
"1,03%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,Lietuvos rusų sąjunga,23,198
"0,29%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,8,53
"0,22%",Vilniaus - Šalčininkų (Nr.56) rinkimų apygarda,Lietuvos centro partija,10,37
"12,01%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,235,2459
"8,78%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,Tautos prisikėlimo partija,101,1868
"8,78%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,Partija Tvarka ir teisingumas,211,1759
"6,70%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,Lietuvos socialdemokratų partija,186,1317
"11,33%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,Koalicija Darbo partija + jaunimas,347,2194
"3,65%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,39,781
"4,64%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,Liberalų ir centro sąjunga,67,973
"33,11%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,1594,5836
"2,64%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,73,519
"2,67%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,Naujoji sąjunga (socialliberalai),63,536
"2,22%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"""Fronto"" partija",39,458
"1,05%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",19,217
"0,68%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,Pilietinės demokratijos partija,20,133
"0,60%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,Lietuvos rusų sąjunga,15,120
"0,64%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,16,128
"0,51%",Širvintų - Vilniaus (Nr.55) rinkimų apygarda,Lietuvos centro partija,20,94
"20,03%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,511,2323
"11,77%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,Tautos prisikėlimo partija,96,1569
"8,93%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,Partija Tvarka ir teisingumas,162,1101
"9,70%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,Lietuvos socialdemokratų partija,187,1186
"11,32%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,Koalicija Darbo partija + jaunimas,196,1406
"1,94%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,18,257
"4,36%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,Liberalų ir centro sąjunga,39,578
"6,20%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,160,718
"11,46%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,231,1391
"5,43%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,Naujoji sąjunga (socialliberalai),139,630
"4,46%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,"""Fronto"" partija",65,566
"1,42%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",18,183
"1,15%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,Pilietinės demokratijos partija,21,142
"0,81%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,Lietuvos rusų sąjunga,7,108
"0,59%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,15,69
"0,41%",Molėtų - Švenčionių (Nr.54) rinkimų apygarda,Lietuvos centro partija,9,49
"10,27%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,439,1186
"9,40%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,Tautos prisikėlimo partija,157,1331
"14,45%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,Partija Tvarka ir teisingumas,463,1824
"13,89%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,Lietuvos socialdemokratų partija,484,1715
"11,96%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,Koalicija Darbo partija + jaunimas,379,1514
"3,23%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,66,446
"3,79%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,Liberalų ir centro sąjunga,102,498
"2,84%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,99,351
"14,65%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,634,1684
"8,72%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,Naujoji sąjunga (socialliberalai),407,973
"3,34%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,"""Fronto"" partija",85,444
"0,98%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",29,126
"0,56%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,Pilietinės demokratijos partija,25,63
"0,99%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,Lietuvos rusų sąjunga,26,130
"0,51%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,17,63
"0,42%",Ignalinos - Švenčionių (Nr.53) rinkimų apygarda,Lietuvos centro partija,23,44
"8,06%",Zarasų - Visagino (Nr.52) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,291,1067
"7,34%",Zarasų - Visagino (Nr.52) rinkimų apygarda,Tautos prisikėlimo partija,102,1135
"26,43%",Zarasų - Visagino (Nr.52) rinkimų apygarda,Partija Tvarka ir teisingumas,342,4112
"12,55%",Zarasų - Visagino (Nr.52) rinkimų apygarda,Lietuvos socialdemokratų partija,373,1742
"14,53%",Zarasų - Visagino (Nr.52) rinkimų apygarda,Koalicija Darbo partija + jaunimas,371,2077
"1,25%",Zarasų - Visagino (Nr.52) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,29,182
"9,15%",Zarasų - Visagino (Nr.52) rinkimų apygarda,Liberalų ir centro sąjunga,144,1397
"1,22%",Zarasų - Visagino (Nr.52) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,28,178
"4,27%",Zarasų - Visagino (Nr.52) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,91,629
"2,89%",Zarasų - Visagino (Nr.52) rinkimų apygarda,Naujoji sąjunga (socialliberalai),68,419
"7,32%",Zarasų - Visagino (Nr.52) rinkimų apygarda,"""Fronto"" partija",79,1154
"0,74%",Zarasų - Visagino (Nr.52) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",16,108
"0,45%",Zarasų - Visagino (Nr.52) rinkimų apygarda,Pilietinės demokratijos partija,16,60
"2,42%",Zarasų - Visagino (Nr.52) rinkimų apygarda,Lietuvos rusų sąjunga,31,376
"0,67%",Zarasų - Visagino (Nr.52) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,18,95
"0,71%",Zarasų - Visagino (Nr.52) rinkimų apygarda,Lietuvos centro partija,20,99
"26,30%",Utenos (Nr.51) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,584,4510
"16,97%",Utenos (Nr.51) rinkimų apygarda,Tautos prisikėlimo partija,147,3140
"11,30%",Utenos (Nr.51) rinkimų apygarda,Partija Tvarka ir teisingumas,207,1981
"16,90%",Utenos (Nr.51) rinkimų apygarda,Lietuvos socialdemokratų partija,336,2938
"7,58%",Utenos (Nr.51) rinkimų apygarda,Koalicija Darbo partija + jaunimas,130,1339
"4,84%",Utenos (Nr.51) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,52,886
"2,30%",Utenos (Nr.51) rinkimų apygarda,Liberalų ir centro sąjunga,38,407
"0,08%",Utenos (Nr.51) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,2,14
"2,95%",Utenos (Nr.51) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,85,486
"3,27%",Utenos (Nr.51) rinkimų apygarda,Naujoji sąjunga (socialliberalai),63,570
"2,97%",Utenos (Nr.51) rinkimų apygarda,"""Fronto"" partija",25,550
"1,68%",Utenos (Nr.51) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",29,296
"1,54%",Utenos (Nr.51) rinkimų apygarda,Pilietinės demokratijos partija,31,267
"0,21%",Utenos (Nr.51) rinkimų apygarda,Lietuvos rusų sąjunga,8,33
"0,49%",Utenos (Nr.51) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,12,83
"0,61%",Utenos (Nr.51) rinkimų apygarda,Lietuvos centro partija,12,107
"18,99%",Rokiškio (Nr.50) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,483,2437
"15,37%",Rokiškio (Nr.50) rinkimų apygarda,Tautos prisikėlimo partija,133,2231
"13,96%",Rokiškio (Nr.50) rinkimų apygarda,Partija Tvarka ir teisingumas,222,1925
"17,60%",Rokiškio (Nr.50) rinkimų apygarda,Lietuvos socialdemokratų partija,327,2380
"11,76%",Rokiškio (Nr.50) rinkimų apygarda,Koalicija Darbo partija + jaunimas,196,1612
"2,32%",Rokiškio (Nr.50) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,42,314
"3,69%",Rokiškio (Nr.50) rinkimų apygarda,Liberalų ir centro sąjunga,104,463
"0,08%",Rokiškio (Nr.50) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,2,10
"6,20%",Rokiškio (Nr.50) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,85,868
"3,29%",Rokiškio (Nr.50) rinkimų apygarda,Naujoji sąjunga (socialliberalai),50,456
"2,73%",Rokiškio (Nr.50) rinkimų apygarda,"""Fronto"" partija",41,379
"1,49%",Rokiškio (Nr.50) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",20,209
"0,72%",Rokiškio (Nr.50) rinkimų apygarda,Pilietinės demokratijos partija,11,99
"0,25%",Rokiškio (Nr.50) rinkimų apygarda,Lietuvos rusų sąjunga,6,33
"0,98%",Rokiškio (Nr.50) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,10,141
"0,57%",Rokiškio (Nr.50) rinkimų apygarda,Lietuvos centro partija,17,71
"22,16%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,757,2872
"13,94%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,Tautos prisikėlimo partija,156,2126
"10,46%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,Partija Tvarka ir teisingumas,226,1486
"10,72%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,Lietuvos socialdemokratų partija,257,1499
"14,15%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,Koalicija Darbo partija + jaunimas,308,2008
"3,10%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,43,465
"4,93%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,Liberalų ir centro sąjunga,83,725
"0,16%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,4,22
"9,05%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,207,1274
"3,11%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,Naujoji sąjunga (socialliberalai),106,403
"3,82%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,"""Fronto"" partija",52,574
"1,92%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",40,274
"0,90%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,Pilietinės demokratijos partija,24,124
"0,23%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,Lietuvos rusų sąjunga,5,33
"0,62%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,18,83
"0,73%",Anykščių - Kupiškio (Nr.49) rinkimų apygarda,Lietuvos centro partija,23,96
"19,13%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,572,2721
"15,52%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,Tautos prisikėlimo partija,178,2493
"14,65%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,Partija Tvarka ir teisingumas,303,2218
"12,64%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,Lietuvos socialdemokratų partija,357,1819
"8,73%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,Koalicija Darbo partija + jaunimas,180,1322
"2,84%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,51,437
"4,50%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,Liberalų ir centro sąjunga,97,677
"0,13%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,5,17
"11,16%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,288,1632
"2,72%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,Naujoji sąjunga (socialliberalai),63,406
"3,64%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,"""Fronto"" partija",87,539
"1,72%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",29,267
"0,99%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,Pilietinės demokratijos partija,23,147
"0,16%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,Lietuvos rusų sąjunga,6,21
"0,89%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,23,131
"0,60%",Biržų - Kupiškio (Nr.48) rinkimų apygarda,Lietuvos centro partija,12,91
"32,96%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,1129,4598
"23,57%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,Tautos prisikėlimo partija,330,3765
"6,78%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,Partija Tvarka ir teisingumas,150,1028
"12,63%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,Lietuvos socialdemokratų partija,335,1859
"7,10%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,Koalicija Darbo partija + jaunimas,193,1041
"2,33%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,37,368
"1,24%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,Liberalų ir centro sąjunga,20,195
"0,09%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,1,14
"4,40%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,102,662
"3,30%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,Naujoji sąjunga (socialliberalai),73,500
"2,23%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,"""Fronto"" partija",53,334
"1,39%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",22,220
"0,84%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,Pilietinės demokratijos partija,20,126
"0,07%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,Lietuvos rusų sąjunga,1,12
"0,59%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,13,89
"0,48%",Pasvalio - Panevėžio (Nr.47) rinkimų apygarda,Lietuvos centro partija,12,71
"11,69%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,349,1569
"15,71%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,Tautos prisikėlimo partija,164,2413
"15,18%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,Partija Tvarka ir teisingumas,374,2116
"23,47%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,Lietuvos socialdemokratų partija,637,3212
"11,65%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,Koalicija Darbo partija + jaunimas,247,1664
"3,62%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,77,516
"1,49%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,Liberalų ir centro sąjunga,32,212
"0,12%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,4,16
"4,58%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,112,639
"3,70%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,Naujoji sąjunga (socialliberalai),99,508
"4,62%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,"""Fronto"" partija",104,653
"1,53%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",20,231
"0,72%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,Pilietinės demokratijos partija,18,100
"0,19%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,Lietuvos rusų sąjunga,7,24
"1,04%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,27,143
"0,70%",Pakruojo - Joniškio (Nr.46) rinkimų apygarda,Lietuvos centro partija,23,92
"13,35%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,281,1837
"19,45%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,Tautos prisikėlimo partija,168,2916
"14,37%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,Partija Tvarka ir teisingumas,199,2080
"10,69%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,Lietuvos socialdemokratų partija,221,1475
"13,73%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,Koalicija Darbo partija + jaunimas,201,1976
"3,04%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,15,467
"2,24%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,Liberalų ir centro sąjunga,26,329
"0,11%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,2,16
"12,31%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,192,1761
"3,03%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,Naujoji sąjunga (socialliberalai),45,435
"2,94%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,"""Fronto"" partija",41,425
"1,94%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",18,290
"0,85%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,Pilietinės demokratijos partija,17,118
"0,13%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,Lietuvos rusų sąjunga,2,19
"0,76%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,8,112
"1,06%",Šiaulių kaimiškoji (Nr.45) rinkimų apygarda,Lietuvos centro partija,15,153
"16,59%",Radviliškio (Nr.44) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,515,2284
"15,40%",Radviliškio (Nr.44) rinkimų apygarda,Tautos prisikėlimo partija,177,2421
"13,27%",Radviliškio (Nr.44) rinkimų apygarda,Partija Tvarka ir teisingumas,220,2019
"13,75%",Radviliškio (Nr.44) rinkimų apygarda,Lietuvos socialdemokratų partija,244,2075
"18,13%",Radviliškio (Nr.44) rinkimų apygarda,Koalicija Darbo partija + jaunimas,362,2696
"3,58%",Radviliškio (Nr.44) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,57,547
"1,72%",Radviliškio (Nr.44) rinkimų apygarda,Liberalų ir centro sąjunga,23,267
"0,11%",Radviliškio (Nr.44) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,2,17
"5,56%",Radviliškio (Nr.44) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,140,797
"5,13%",Radviliškio (Nr.44) rinkimų apygarda,Naujoji sąjunga (socialliberalai),91,775
"2,13%",Radviliškio (Nr.44) rinkimų apygarda,"""Fronto"" partija",36,324
"1,85%",Radviliškio (Nr.44) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",27,285
"0,94%",Radviliškio (Nr.44) rinkimų apygarda,Pilietinės demokratijos partija,19,139
"0,30%",Radviliškio (Nr.44) rinkimų apygarda,Lietuvos rusų sąjunga,6,44
"1,00%",Radviliškio (Nr.44) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,20,149
"0,53%",Radviliškio (Nr.44) rinkimų apygarda,Lietuvos centro partija,9,80
"13,62%",Kėdainių (Nr.43) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,308,2292
"11,57%",Kėdainių (Nr.43) rinkimų apygarda,Tautos prisikėlimo partija,99,2109
"4,82%",Kėdainių (Nr.43) rinkimų apygarda,Partija Tvarka ir teisingumas,75,845
"7,72%",Kėdainių (Nr.43) rinkimų apygarda,Lietuvos socialdemokratų partija,135,1339
"40,96%",Kėdainių (Nr.43) rinkimų apygarda,Koalicija Darbo partija + jaunimas,835,6985
"3,19%",Kėdainių (Nr.43) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,41,568
"2,15%",Kėdainių (Nr.43) rinkimų apygarda,Liberalų ir centro sąjunga,35,375
"0,14%",Kėdainių (Nr.43) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,4,22
"1,54%",Kėdainių (Nr.43) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,29,265
"1,97%",Kėdainių (Nr.43) rinkimų apygarda,Naujoji sąjunga (socialliberalai),40,337
"2,13%",Kėdainių (Nr.43) rinkimų apygarda,"""Fronto"" partija",30,377
"1,54%",Kėdainių (Nr.43) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",14,280
"7,10%",Kėdainių (Nr.43) rinkimų apygarda,Pilietinės demokratijos partija,177,1179
"0,36%",Kėdainių (Nr.43) rinkimų apygarda,Lietuvos rusų sąjunga,16,53
"0,50%",Kėdainių (Nr.43) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,10,86
"0,68%",Kėdainių (Nr.43) rinkimų apygarda,Lietuvos centro partija,27,103
"13,66%",Raseinių (Nr.42) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,422,2130
"10,05%",Raseinių (Nr.42) rinkimų apygarda,Tautos prisikėlimo partija,106,1772
"24,49%",Raseinių (Nr.42) rinkimų apygarda,Partija Tvarka ir teisingumas,501,4073
"17,53%",Raseinių (Nr.42) rinkimų apygarda,Lietuvos socialdemokratų partija,512,2762
"8,26%",Raseinių (Nr.42) rinkimų apygarda,Koalicija Darbo partija + jaunimas,219,1324
"2,37%",Raseinių (Nr.42) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,54,388
"1,12%",Raseinių (Nr.42) rinkimų apygarda,Liberalų ir centro sąjunga,24,185
"0,11%",Raseinių (Nr.42) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,3,17
"3,88%",Raseinių (Nr.42) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,134,591
"13,30%",Raseinių (Nr.42) rinkimų apygarda,Naujoji sąjunga (socialliberalai),258,2226
"1,65%",Raseinių (Nr.42) rinkimų apygarda,"""Fronto"" partija",41,268
"1,04%",Raseinių (Nr.42) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",32,163
"0,62%",Raseinių (Nr.42) rinkimų apygarda,Pilietinės demokratijos partija,17,98
"0,11%",Raseinių (Nr.42) rinkimų apygarda,Lietuvos rusų sąjunga,5,15
"1,37%",Raseinių (Nr.42) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,34,222
"0,44%",Raseinių (Nr.42) rinkimų apygarda,Lietuvos centro partija,13,70
"15,98%",Kelmės (Nr.41) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,362,1755
"15,21%",Kelmės (Nr.41) rinkimų apygarda,Tautos prisikėlimo partija,109,1906
"14,47%",Kelmės (Nr.41) rinkimų apygarda,Partija Tvarka ir teisingumas,190,1727
"15,92%",Kelmės (Nr.41) rinkimų apygarda,Lietuvos socialdemokratų partija,341,1768
"13,79%",Kelmės (Nr.41) rinkimų apygarda,Koalicija Darbo partija + jaunimas,153,1673
"2,61%",Kelmės (Nr.41) rinkimų apygarda,Lietuvos Respublikos liberalų sąjūdis,39,307
"8,81%",Kelmės (Nr.41) rinkimų apygarda,Liberalų ir centro sąjunga,102,1065
"0,08%",Kelmės (Nr.41) rinkimų apygarda,Lietuvos lenkų rinkimų akcija,2,8
"4,26%",Kelmės (Nr.41) rinkimų apygarda,Lietuvos valstiečių liaudininkų sąjunga,62,502
"2,38%",Kelmės (Nr.41) rinkimų apygarda,Naujoji sąjunga (socialliberalai),42,273
"2,85%",Kelmės (Nr.41) rinkimų apygarda,"""Fronto"" partija",26,351
"1,54%",Kelmės (Nr.41) rinkimų apygarda,"Partija ""Jaunoji Lietuva""",21,183
"0,59%",Kelmės (Nr.41) rinkimų apygarda,Pilietinės demokratijos partija,15,63
"0,15%",Kelmės (Nr.41) rinkimų apygarda,Lietuvos rusų sąjunga,2,18
"0,84%",Kelmės (Nr.41) rinkimų apygarda,Lietuvos socialdemokratų sąjunga,16,95
"0,52%",Kelmės (Nr.41) rinkimų apygarda,Lietuvos centro partija,12,57
"13,86%",Telšių (Nr.40) rinkimų apygarda,Tėvynės sąjunga - Lietuvos krikščionys demokratai,366,2318
"14,80%",Telšių (Nr.40) rinkimų apygarda,Tautos prisikėlimo partija,120,2747
"31,98%",Telšių (Nr.40) rinkimų apygarda,Partija Tvarka ir teisingumas,541,5653
"9,70%",Telšių (Nr.40) rinkimų apygarda,Lietuvos socialdemokratų partija,250,1628
