kandidatas,apygarda,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Mantas VARAŠKA,,"61,35%",108,"56,70%",19,Puskelnių  (Nr.19) apylinkė  
Albinas MITRULEVIČIUS,,"38,65%",66,"35,71%",14,Puskelnių  (Nr.19) apylinkė  
Mantas VARAŠKA,,"57,09%",136,"55,81%",13,Sasnavos  (Nr.18) apylinkė  
Albinas MITRULEVIČIUS,,"42,91%",77,"41,95%",35,Sasnavos  (Nr.18) apylinkė  
Mantas VARAŠKA,,"38,89%",52,"38,89%",4,Aistiškių  (Nr.17) apylinkė  
Albinas MITRULEVIČIUS,,"61,11%",78,"61,11%",10,Aistiškių  (Nr.17) apylinkė  
Mantas VARAŠKA,,"40,87%",80,"40,17%",14,Šunskų  (Nr.17) apylinkė  
Albinas MITRULEVIČIUS,,"59,13%",104,"58,12%",32,Šunskų  (Nr.17) apylinkė  
Mantas VARAŠKA,,"65,38%",58,"65,38%",10,Kampinių  (Nr.16) apylinkė  
Albinas MITRULEVIČIUS,,"34,62%",34,"34,62%",2,Kampinių  (Nr.16) apylinkė  
Mantas VARAŠKA,,"51,78%",143,"50,00%",17,Mokolų kaimo  (Nr.16) apylinkė  
Albinas MITRULEVIČIUS,,"48,22%",133,"46,56%",16,Mokolų kaimo  (Nr.16) apylinkė  
Mantas VARAŠKA,,"55,56%",54,"55,56%",6,Akmenynų  (Nr.15) apylinkė  
Albinas MITRULEVIČIUS,,"44,44%",40,"44,44%",8,Akmenynų  (Nr.15) apylinkė  
Mantas VARAŠKA,,"45,36%",34,"45,36%",10,Tarprubežių  (Nr.14) apylinkė  
Albinas MITRULEVIČIUS,,"54,64%",38,"54,64%",15,Tarprubežių  (Nr.14) apylinkė  
Mantas VARAŠKA,,"83,26%",148,"80,70%",36,Jankų  (Nr.14) apylinkė  
Albinas MITRULEVIČIUS,,"16,74%",25,"16,23%",12,Jankų  (Nr.14) apylinkė  
Mantas VARAŠKA,,"85,59%",83,"84,17%",18,Būdos  (Nr.13) apylinkė  
Albinas MITRULEVIČIUS,,"14,41%",6,"14,17%",11,Būdos  (Nr.13) apylinkė  
Mantas VARAŠKA,,"53,10%",35,"51,72%",25,Jurgežerių  (Nr.13) apylinkė  
Albinas MITRULEVIČIUS,,"46,90%",22,"45,69%",31,Jurgežerių  (Nr.13) apylinkė  
Mantas VARAŠKA,,"79,51%",78,"79,51%",19,Bebruliškės  (Nr.12) apylinkė  
Albinas MITRULEVIČIUS,,"20,49%",18,"20,49%",7,Bebruliškės  (Nr.12) apylinkė  
Mantas VARAŠKA,,"24,81%",29,"24,81%",4,Brazavo  (Nr.12) apylinkė  
Albinas MITRULEVIČIUS,,"75,19%",77,"75,19%",23,Brazavo  (Nr.12) apylinkė  
Mantas VARAŠKA,,"54,41%",58,"53,24%",16,Liubavo  (Nr.11) apylinkė  
Albinas MITRULEVIČIUS,,"45,59%",42,"44,60%",20,Liubavo  (Nr.11) apylinkė  
Mantas VARAŠKA,,"71,67%",139,"70,72%",76,Ąžuolų Būdos  (Nr.11) apylinkė  
Albinas MITRULEVIČIUS,,"28,33%",51,"27,96%",34,Ąžuolų Būdos  (Nr.11) apylinkė  
Mantas VARAŠKA,,"51,58%",27,"50,00%",22,Salaperaugio  (Nr.10) apylinkė  
Albinas MITRULEVIČIUS,,"48,42%",21,"46,94%",25,Salaperaugio  (Nr.10) apylinkė  
Mantas VARAŠKA,,"51,05%",66,"50,34%",7,Plutiškių  (Nr.10) apylinkė  
Albinas MITRULEVIČIUS,,"48,95%",52,"48,28%",18,Plutiškių  (Nr.10) apylinkė  
Mantas VARAŠKA,,"53,25%",29,"50,62%",12,Radiškės  (Nr.9) apylinkė  
Albinas MITRULEVIČIUS,,"46,75%",24,"44,44%",12,Radiškės  (Nr.9) apylinkė  
Mantas VARAŠKA,,"85,33%",106,"84,77%",22,Jūrės  (Nr.9) apylinkė  
Albinas MITRULEVIČIUS,,"14,67%",20,"14,57%",2,Jūrės  (Nr.9) apylinkė  
Mantas VARAŠKA,,"67,83%",129,"66,10%",27,Sangrūdos  (Nr.8) apylinkė  
Albinas MITRULEVIČIUS,,"32,17%",55,"31,36%",19,Sangrūdos  (Nr.8) apylinkė  
Mantas VARAŠKA,,"92,16%",193,"89,02%",42,Jūrės  (Nr.8) apylinkė  
Albinas MITRULEVIČIUS,,"7,84%",15,"7,58%",5,Jūrės  (Nr.8) apylinkė  
Mantas VARAŠKA,,"75,71%",94,"74,86%",40,Višakio Rūdos  (Nr.7) apylinkė  
Albinas MITRULEVIČIUS,,"24,29%",27,"24,02%",16,Višakio Rūdos  (Nr.7) apylinkė  
Mantas VARAŠKA,,"54,32%",101,"54,10%",31,Jusevičių  (Nr.7) apylinkė  
Albinas MITRULEVIČIUS,,"45,68%",79,"45,49%",32,Jusevičių  (Nr.7) apylinkė  
Mantas VARAŠKA,,"43,75%",49,"43,36%",0,Mockų  (Nr.6) apylinkė  
Albinas MITRULEVIČIUS,,"56,25%",40,"55,75%",23,Mockų  (Nr.6) apylinkė  
Mantas VARAŠKA,,"78,18%",130,"77,83%",42,Antanavo  (Nr.6) apylinkė  
Albinas MITRULEVIČIUS,,"21,82%",34,"21,72%",14,Antanavo  (Nr.6) apylinkė  
Mantas VARAŠKA,,"71,19%",119,"69,23%",7,Bagotosios  (Nr.5) apylinkė  
Albinas MITRULEVIČIUS,,"28,81%",49,"28,02%",2,Bagotosios  (Nr.5) apylinkė  
Mantas VARAŠKA,,"45,83%",37,"45,83%",7,Sūsninkų  (Nr.5) apylinkė  
Albinas MITRULEVIČIUS,,"54,17%",38,"54,17%",14,Sūsninkų  (Nr.5) apylinkė  
Mantas VARAŠKA,,"47,66%",45,"45,95%",6,Brukų  (Nr.4) apylinkė  
Albinas MITRULEVIČIUS,,"52,34%",41,"50,45%",15,Brukų  (Nr.4) apylinkė  
Mantas VARAŠKA,,"85,16%",181,"84,17%",37,Liepų  (Nr.4) apylinkė  
Albinas MITRULEVIČIUS,,"14,84%",31,"14,67%",7,Liepų  (Nr.4) apylinkė  
Mantas VARAŠKA,,"49,86%",152,"49,14%",20,Jungėnų  (Nr.3) apylinkė  
Albinas MITRULEVIČIUS,,"50,14%",101,"49,43%",72,Jungėnų  (Nr.3) apylinkė  
Mantas VARAŠKA,,"86,17%",434,"84,81%",102,Mindaugo  (Nr.3) apylinkė  
Albinas MITRULEVIČIUS,,"13,83%",65,"13,61%",21,Mindaugo  (Nr.3) apylinkė  
Mantas VARAŠKA,,"86,28%",578,"84,29%",114,Pušų  (Nr.2) apylinkė  
Albinas MITRULEVIČIUS,,"13,72%",84,"13,40%",26,Pušų  (Nr.2) apylinkė  
Mantas VARAŠKA,,"62,37%",285,"61,18%",68,Kalvarijos Rytinė  (Nr.2) apylinkė  
Albinas MITRULEVIČIUS,,"37,63%",162,"36,92%",51,Kalvarijos Rytinė  (Nr.2) apylinkė  
Mantas VARAŠKA,,"91,62%",428,"90,44%",64,Kazlų Rūdos  (Nr.1) apylinkė  
Albinas MITRULEVIČIUS,,"8,38%",41,"8,27%",4,Kazlų Rūdos  (Nr.1) apylinkė  
Mantas VARAŠKA,,"63,06%",326,"61,58%",41,Kalvarijos Vakarinė  (Nr.1) apylinkė  
Albinas MITRULEVIČIUS,,"36,94%",169,"36,07%",46,Kalvarijos Vakarinė  (Nr.1) apylinkė  
Mindaugas BASTYS,,"51,70%",274,"50,30%",60,Kudirkos Naumiesčio  (Nr.38) apylinkė  
Jonas ŠIMĖNAS,,"48,30%",234,"46,99%",78,Kudirkos Naumiesčio  (Nr.38) apylinkė  
Mindaugas BASTYS,,"62,29%",101,"61,24%",8,Briedžių  (Nr.37) apylinkė  
Jonas ŠIMĖNAS,,"37,71%",54,"37,08%",12,Briedžių  (Nr.37) apylinkė  
Mindaugas BASTYS,,"54,96%",201,"54,18%",26,Girėnų  (Nr.36) apylinkė  
Jonas ŠIMĖNAS,,"45,04%",160,"44,39%",26,Girėnų  (Nr.36) apylinkė  
Mindaugas BASTYS,,"65,49%",51,"63,79%",23,Ritinių  (Nr.35) apylinkė  
Jonas ŠIMĖNAS,,"34,51%",24,"33,62%",15,Ritinių  (Nr.35) apylinkė  
Mindaugas BASTYS,,"53,85%",138,"53,31%",23,Giedručių  (Nr.34) apylinkė  
Jonas ŠIMĖNAS,,"46,15%",117,"45,70%",21,Giedručių  (Nr.34) apylinkė  
Mindaugas BASTYS,,"60,66%",102,"58,73%",9,Išdagų  (Nr.33) apylinkė  
Jonas ŠIMĖNAS,,"39,34%",55,"38,10%",17,Išdagų  (Nr.33) apylinkė  
Mindaugas BASTYS,,"57,50%",36,"56,79%",10,Duobiškių  (Nr.32) apylinkė  
Jonas ŠIMĖNAS,,"42,50%",25,"41,98%",9,Duobiškių  (Nr.32) apylinkė  
Mindaugas BASTYS,,"53,60%",57,"51,54%",10,Gotlybiškių  (Nr.31) apylinkė  
Jonas ŠIMĖNAS,,"46,40%",48,"44,62%",10,Gotlybiškių  (Nr.31) apylinkė  
Mindaugas BASTYS,,"62,30%",129,"59,92%",28,Slavikų  (Nr.30) apylinkė  
Jonas ŠIMĖNAS,,"37,70%",76,"36,26%",19,Slavikų  (Nr.30) apylinkė  
Mindaugas BASTYS,,"51,57%",90,"49,78%",25,Žvirgždaičių  (Nr.29) apylinkė  
Jonas ŠIMĖNAS,,"48,43%",80,"46,75%",28,Žvirgždaičių  (Nr.29) apylinkė  
Mindaugas BASTYS,,"64,80%",98,"62,70%",18,Keturnaujienos  (Nr.28) apylinkė  
Jonas ŠIMĖNAS,,"35,20%",55,"34,05%",8,Keturnaujienos  (Nr.28) apylinkė  
Mindaugas BASTYS,,"75,33%",156,"73,71%",15,Veršių  (Nr.27) apylinkė  
Jonas ŠIMĖNAS,,"24,67%",48,"24,14%",8,Veršių  (Nr.27) apylinkė  
Mindaugas BASTYS,,"47,29%",109,"46,04%",13,Sintautų  (Nr.26) apylinkė  
Jonas ŠIMĖNAS,,"52,71%",116,"51,32%",20,Sintautų  (Nr.26) apylinkė  
Mindaugas BASTYS,,"47,28%",45,"45,75%",68,Sūdavos  (Nr.25) apylinkė  
Jonas ŠIMĖNAS,,"52,72%",56,"51,01%",70,Sūdavos  (Nr.25) apylinkė  
Mindaugas BASTYS,,"51,92%",86,"50,70%",22,Liepalotų  (Nr.25) apylinkė  
Jonas ŠIMĖNAS,,"48,08%",73,"46,95%",27,Liepalotų  (Nr.25) apylinkė  
Mindaugas BASTYS,,"53,41%",258,"52,16%",32,Lukšių  (Nr.24) apylinkė  
Jonas ŠIMĖNAS,,"46,59%",222,"45,50%",31,Lukšių  (Nr.24) apylinkė  
Mindaugas BASTYS,,"38,20%",27,"36,17%",7,Daržininkų  (Nr.23) apylinkė  
Jonas ŠIMĖNAS,,"61,80%",41,"58,51%",14,Daržininkų  (Nr.23) apylinkė  
Mindaugas BASTYS,,"50,72%",50,"50,36%",20,Mikytų  (Nr.23) apylinkė  
Jonas ŠIMĖNAS,,"49,28%",41,"48,92%",27,Mikytų  (Nr.23) apylinkė  
Mindaugas BASTYS,,"57,93%",170,"55,22%",31,Lekėčių  (Nr.22) apylinkė  
Jonas ŠIMĖNAS,,"42,07%",129,"40,11%",17,Lekėčių  (Nr.22) apylinkė  
Mindaugas BASTYS,,"58,19%",100,"57,79%",67,Gerdžiūnų  (Nr.21) apylinkė  
Jonas ŠIMĖNAS,,"41,81%",83,"41,52%",37,Gerdžiūnų  (Nr.21) apylinkė  
Mindaugas BASTYS,,"58,61%",262,"58,16%",41,Kriūkų  (Nr.20) apylinkė  
Jonas ŠIMĖNAS,,"41,39%",170,"41,07%",44,Kriūkų  (Nr.20) apylinkė  
Mindaugas BASTYS,,"55,96%",133,"54,95%",50,Sudargo  (Nr.19) apylinkė  
Jonas ŠIMĖNAS,,"44,04%",112,"43,24%",32,Sudargo  (Nr.19) apylinkė  
Mindaugas BASTYS,,"43,37%",56,"42,11%",16,Voverių  (Nr.17) apylinkė  
Jonas ŠIMĖNAS,,"56,63%",69,"54,97%",25,Voverių  (Nr.17) apylinkė  
Mindaugas BASTYS,,"51,37%",191,"49,62%",72,Kidulių  (Nr.16) apylinkė  
Jonas ŠIMĖNAS,,"48,63%",180,"46,98%",69,Kidulių  (Nr.16) apylinkė  
Mindaugas BASTYS,,"56,12%",97,"55,84%",13,Paluobių  (Nr.13) apylinkė  
Jonas ŠIMĖNAS,,"43,88%",73,"43,65%",13,Paluobių  (Nr.13) apylinkė  
Mindaugas BASTYS,,"55,79%",74,"53,81%",32,Patašinės  (Nr.12) apylinkė  
Jonas ŠIMĖNAS,,"44,21%",52,"42,64%",32,Patašinės  (Nr.12) apylinkė  
Mindaugas BASTYS,,"72,26%",89,"70,71%",10,Degutinės  (Nr.11) apylinkė  
Jonas ŠIMĖNAS,,"27,74%",31,"27,14%",7,Degutinės  (Nr.11) apylinkė  
Mindaugas BASTYS,,"47,38%",133,"45,16%",21,Griškabūdžio  (Nr.10) apylinkė  
Jonas ŠIMĖNAS,,"52,62%",139,"50,15%",32,Griškabūdžio  (Nr.10) apylinkė  
Mindaugas BASTYS,,"52,78%",146,"51,77%",44,Plokščių  (Nr.9) apylinkė  
Jonas ŠIMĖNAS,,"47,22%",118,"46,32%",52,Plokščių  (Nr.9) apylinkė  
Mindaugas BASTYS,,"50,43%",349,"49,39%",57,Gelgaudiškio  (Nr.8) apylinkė  
Jonas ŠIMĖNAS,,"49,57%",341,"48,54%",58,Gelgaudiškio  (Nr.8) apylinkė  
Mindaugas BASTYS,,"63,16%",110,"61,40%",22,Panovių  (Nr.7) apylinkė  
Jonas ŠIMĖNAS,,"36,84%",55,"35,81%",22,Panovių  (Nr.7) apylinkė  
Mindaugas BASTYS,,"57,93%",64,"56,38%",20,Būblelių  (Nr.6) apylinkė  
Jonas ŠIMĖNAS,,"42,07%",43,"40,94%",18,Būblelių  (Nr.6) apylinkė  
Mindaugas BASTYS,,"71,43%",76,"69,85%",19,Baltrušių  (Nr.5) apylinkė  
Jonas ŠIMĖNAS,,"28,57%",26,"27,94%",12,Baltrušių  (Nr.5) apylinkė  
Mindaugas BASTYS,,"65,82%",90,"63,03%",14,Barzdų  (Nr.4) apylinkė  
Jonas ŠIMĖNAS,,"34,18%",42,"32,73%",12,Barzdų  (Nr.4) apylinkė  
Mindaugas BASTYS,,"50,47%",226,"49,36%",45,Aušros  (Nr.3) apylinkė  
Jonas ŠIMĖNAS,,"49,53%",235,"48,45%",31,Aušros  (Nr.3) apylinkė  
Mindaugas BASTYS,,"52,16%",344,"50,84%",78,Varpo  (Nr.2) apylinkė  
Jonas ŠIMĖNAS,,"47,84%",315,"46,63%",72,Varpo  (Nr.2) apylinkė  
Mindaugas BASTYS,,"48,31%",271,"46,52%",43,Žiburio  (Nr.1) apylinkė  
Jonas ŠIMĖNAS,,"51,69%",286,"49,78%",50,Žiburio  (Nr.1) apylinkė  
Justinas URBANAVIČIUS,,"34,06%",27,"34,06%",20,Vainikų  (Nr.49) apylinkė  
Jonas KONDROTAS,,"65,94%",64,"65,94%",27,Vainikų  (Nr.49) apylinkė  
Justinas URBANAVIČIUS,,"76,09%",441,"73,80%",49,Žalgirio  (Nr.48) apylinkė  
Jonas KONDROTAS,,"23,91%",126,"23,19%",28,Žalgirio  (Nr.48) apylinkė  
Justinas URBANAVIČIUS,,"72,21%",213,"68,29%",39,Vilkijos  (Nr.46) apylinkė  
Jonas KONDROTAS,,"27,79%",80,"26,29%",17,Vilkijos  (Nr.46) apylinkė  
Justinas URBANAVIČIUS,,"83,71%",360,"78,99%",46,Kulautuvos  (Nr.45) apylinkė  
Jonas KONDROTAS,,"16,29%",72,"15,37%",7,Kulautuvos  (Nr.45) apylinkė  
Justinas URBANAVIČIUS,,"29,33%",34,"28,21%",10,Skaistgirių  (Nr.40) apylinkė  
Jonas KONDROTAS,,"70,67%",76,"67,95%",30,Skaistgirių  (Nr.40) apylinkė  
Justinas URBANAVIČIUS,,"52,24%",29,"50,72%",6,Saviečių  (Nr.37) apylinkė  
Jonas KONDROTAS,,"47,76%",26,"46,38%",6,Saviečių  (Nr.37) apylinkė  
Justinas URBANAVIČIUS,,"51,72%",29,"49,18%",1,Daugėliškių  (Nr.37) apylinkė  
Jonas KONDROTAS,,"48,28%",26,"45,90%",2,Daugėliškių  (Nr.37) apylinkė  
Justinas URBANAVIČIUS,,"62,12%",65,"60,29%",17,Saulėtekių  (Nr.36) apylinkė  
Jonas KONDROTAS,,"37,88%",38,"36,76%",12,Saulėtekių  (Nr.36) apylinkė  
Justinas URBANAVIČIUS,,"60,53%",30,"58,23%",16,Padauguvos  (Nr.35) apylinkė  
Jonas KONDROTAS,,"39,47%",20,"37,97%",10,Padauguvos  (Nr.35) apylinkė  
Justinas URBANAVIČIUS,,"25,12%",87,"24,46%",15,Vandžiogalos  (Nr.34) apylinkė  
Jonas KONDROTAS,,"74,88%",249,"72,90%",55,Vandžiogalos  (Nr.34) apylinkė  
Justinas URBANAVIČIUS,,"33,12%",44,"33,12%",9,Pernaravos  (Nr.34) apylinkė  
Jonas KONDROTAS,,"66,88%",82,"66,88%",25,Pernaravos  (Nr.34) apylinkė  
Justinas URBANAVIČIUS,,"73,91%",339,"70,69%",18,Užliedžių  (Nr.33) apylinkė  
Jonas KONDROTAS,,"26,09%",116,"24,95%",10,Užliedžių  (Nr.33) apylinkė  
Justinas URBANAVIČIUS,,"36,92%",38,"35,82%",10,Pelutavos  (Nr.32) apylinkė  
Jonas KONDROTAS,,"63,08%",63,"61,19%",19,Pelutavos  (Nr.32) apylinkė  
Justinas URBANAVIČIUS,,"42,50%",132,"40,72%",4,Pelėdnagių  (Nr.31) apylinkė  
Jonas KONDROTAS,,"57,50%",164,"55,09%",20,Pelėdnagių  (Nr.31) apylinkė  
Justinas URBANAVIČIUS,,"28,85%",20,"28,66%",25,Pašušvio  (Nr.30) apylinkė  
Jonas KONDROTAS,,"71,15%",74,"70,70%",37,Pašušvio  (Nr.30) apylinkė  
Justinas URBANAVIČIUS,,"33,53%",36,"33,14%",20,Pajieslio  (Nr.28) apylinkė  
Jonas KONDROTAS,,"66,47%",86,"65,68%",25,Pajieslio  (Nr.28) apylinkė  
Justinas URBANAVIČIUS,,"29,66%",27,"28,00%",8,Paaluonio  (Nr.26) apylinkė  
Jonas KONDROTAS,,"70,34%",64,"66,40%",19,Paaluonio  (Nr.26) apylinkė  
Justinas URBANAVIČIUS,,"71,01%",196,"68,97%",44,Batniavos  (Nr.24) apylinkė  
Jonas KONDROTAS,,"28,99%",80,"28,16%",18,Batniavos  (Nr.24) apylinkė  
Justinas URBANAVIČIUS,,"28,12%",25,"27,91%",11,Nociūnų  (Nr.24) apylinkė  
Jonas KONDROTAS,,"71,88%",61,"71,32%",31,Nociūnų  (Nr.24) apylinkė  
Justinas URBANAVIČIUS,,"77,75%",570,"72,92%",17,Raudondvario  (Nr.23) apylinkė  
Jonas KONDROTAS,,"22,25%",165,"20,87%",3,Raudondvario  (Nr.23) apylinkė  
Justinas URBANAVIČIUS,,"24,73%",30,"24,73%",15,Meironiškio  (Nr.21) apylinkė  
Jonas KONDROTAS,,"75,27%",92,"75,27%",45,Meironiškio  (Nr.21) apylinkė  
Justinas URBANAVIČIUS,,"30,36%",35,"28,33%",16,Medėkšių  (Nr.20) apylinkė  
Jonas KONDROTAS,,"69,64%",81,"65,00%",36,Medėkšių  (Nr.20) apylinkė  
Justinas URBANAVIČIUS,,"56,76%",74,"56,45%",31,Langakių  (Nr.17) apylinkė  
Jonas KONDROTAS,,"43,24%",44,"43,01%",36,Langakių  (Nr.17) apylinkė  
Justinas URBANAVIČIUS,,"37,80%",130,"36,91%",11,Labūnavos  (Nr.15) apylinkė  
Jonas KONDROTAS,,"62,20%",211,"60,73%",21,Labūnavos  (Nr.15) apylinkė  
Justinas URBANAVIČIUS,,"30,77%",33,"29,79%",23,Kunionių  (Nr.14) apylinkė  
Jonas KONDROTAS,,"69,23%",78,"67,02%",48,Kunionių  (Nr.14) apylinkė  
Justinas URBANAVIČIUS,,"44,38%",111,"43,07%",35,Krakių  (Nr.13) apylinkė  
Jonas KONDROTAS,,"55,62%",125,"53,98%",58,Krakių  (Nr.13) apylinkė  
Justinas URBANAVIČIUS,,"57,32%",259,"55,33%",11,Lapių  (Nr.12) apylinkė  
Jonas KONDROTAS,,"42,68%",186,"41,19%",15,Lapių  (Nr.12) apylinkė  
Justinas URBANAVIČIUS,,"56,08%",99,"53,00%",7,Voškonių  (Nr.11) apylinkė  
Jonas KONDROTAS,,"43,92%",71,"41,50%",12,Voškonių  (Nr.11) apylinkė  
Justinas URBANAVIČIUS,,"67,32%",267,"63,45%",9,Neries  (Nr.10) apylinkė  
Jonas KONDROTAS,,"32,68%",123,"30,80%",11,Neries  (Nr.10) apylinkė  
Justinas URBANAVIČIUS,,"41,46%",225,"38,87%",30,Josvainių  (Nr.9) apylinkė  
Jonas KONDROTAS,,"58,54%",298,"54,88%",62,Josvainių  (Nr.9) apylinkė  
Justinas URBANAVIČIUS,,"80,95%",735,"77,13%",34,Domeikavos  (Nr.9) apylinkė  
Jonas KONDROTAS,,"19,05%",171,"18,15%",10,Domeikavos  (Nr.9) apylinkė  
Justinas URBANAVIČIUS,,"61,87%",63,"57,72%",23,Liučiūnų  (Nr.8) apylinkė  
Jonas KONDROTAS,,"38,13%",38,"35,57%",15,Liučiūnų  (Nr.8) apylinkė  
Justinas URBANAVIČIUS,,"49,15%",123,"46,47%",22,Čekiškės  (Nr.7) apylinkė  
Jonas KONDROTAS,,"50,85%",97,"48,08%",53,Čekiškės  (Nr.7) apylinkė  
Justinas URBANAVIČIUS,,"36,68%",71,"35,19%",24,Panevėžiuko  (Nr.6) apylinkė  
Jonas KONDROTAS,,"63,32%",116,"60,74%",48,Panevėžiuko  (Nr.6) apylinkė  
Justinas URBANAVIČIUS,,"29,68%",31,"29,11%",15,Beinaičių  (Nr.5) apylinkė  
Jonas KONDROTAS,,"70,32%",67,"68,99%",42,Beinaičių  (Nr.5) apylinkė  
Justinas URBANAVIČIUS,,"34,81%",49,"32,98%",14,Pagynės  (Nr.5) apylinkė  
Jonas KONDROTAS,,"65,19%",96,"61,78%",22,Pagynės  (Nr.5) apylinkė  
Justinas URBANAVIČIUS,,"55,03%",246,"52,82%",82,Babtų  (Nr.4) apylinkė  
Jonas KONDROTAS,,"44,97%",224,"43,16%",44,Babtų  (Nr.4) apylinkė  
Justinas URBANAVIČIUS,,"56,43%",58,"54,11%",21,Ažytėnų  (Nr.3) apylinkė  
Jonas KONDROTAS,,"43,57%",40,"41,78%",21,Ažytėnų  (Nr.3) apylinkė  
Justinas URBANAVIČIUS,,"29,67%",19,"28,42%",8,Angirių  (Nr.1) apylinkė  
Jonas KONDROTAS,,"70,33%",43,"67,37%",21,Angirių  (Nr.1) apylinkė  
Donatas JANKAUSKAS,,"77,01%",132,"73,63%",2,Linksmakalnio  (Nr.47) apylinkė  
Petras MIKELIONIS,,"22,99%",38,"21,98%",2,Linksmakalnio  (Nr.47) apylinkė  
Donatas JANKAUSKAS,,"64,83%",174,"62,88%",14,Kačerginės  (Nr.44) apylinkė  
Petras MIKELIONIS,,"35,17%",91,"34,11%",11,Kačerginės  (Nr.44) apylinkė  
Donatas JANKAUSKAS,,"61,65%",424,"57,33%",18,Jonučių  (Nr.43) apylinkė  
Petras MIKELIONIS,,"38,35%",266,"35,67%",9,Jonučių  (Nr.43) apylinkė  
Donatas JANKAUSKAS,,"71,55%",561,"66,33%",30,Liepų  (Nr.42) apylinkė  
Petras MIKELIONIS,,"28,45%",224,"26,37%",11,Liepų  (Nr.42) apylinkė  
Donatas JANKAUSKAS,,"73,63%",526,"70,24%",38,Garliavos  (Nr.41) apylinkė  
Petras MIKELIONIS,,"26,37%",190,"25,16%",12,Garliavos  (Nr.41) apylinkė  
Donatas JANKAUSKAS,,"58,01%",277,"55,59%",56,Ežerėlio  (Nr.40) apylinkė  
Petras MIKELIONIS,,"41,99%",207,"40,23%",34,Ežerėlio  (Nr.40) apylinkė  
Donatas JANKAUSKAS,,"44,00%",68,"42,01%",53,Altoniškių  (Nr.39) apylinkė  
Petras MIKELIONIS,,"56,00%",112,"53,47%",42,Altoniškių  (Nr.39) apylinkė  
Donatas JANKAUSKAS,,"46,24%",224,"43,46%",22,Zapyškio  (Nr.38) apylinkė  
Petras MIKELIONIS,,"53,76%",246,"50,53%",40,Zapyškio  (Nr.38) apylinkė  
Donatas JANKAUSKAS,,"53,69%",173,"51,22%",16,Taurakiemio  (Nr.30) apylinkė  
Petras MIKELIONIS,,"46,31%",140,"44,17%",23,Taurakiemio  (Nr.30) apylinkė  
Donatas JANKAUSKAS,,"71,77%",325,"68,99%",31,Girionių  (Nr.29) apylinkė  
Petras MIKELIONIS,,"28,23%",129,"27,13%",11,Girionių  (Nr.29) apylinkė  
Donatas JANKAUSKAS,,"64,23%",224,"61,04%",22,Šlienavos  (Nr.28) apylinkė  
Petras MIKELIONIS,,"35,77%",128,"34,00%",9,Šlienavos  (Nr.28) apylinkė  
Donatas JANKAUSKAS,,"69,51%",125,"66,81%",30,Nemuno  (Nr.26) apylinkė  
Petras MIKELIONIS,,"30,49%",49,"29,31%",19,Nemuno  (Nr.26) apylinkė  
Donatas JANKAUSKAS,,"71,38%",620,"69,43%",41,Ringaudų  (Nr.21) apylinkė  
Petras MIKELIONIS,,"28,62%",258,"27,84%",7,Ringaudų  (Nr.21) apylinkė  
Donatas JANKAUSKAS,,"65,96%",422,"63,10%",14,Akademijos  (Nr.20) apylinkė  
Petras MIKELIONIS,,"34,04%",223,"32,56%",2,Akademijos  (Nr.20) apylinkė  
Donatas JANKAUSKAS,,"67,39%",176,"62,84%",10,Universiteto  (Nr.19) apylinkė  
Petras MIKELIONIS,,"32,61%",85,"30,41%",5,Universiteto  (Nr.19) apylinkė  
Donatas JANKAUSKAS,,"59,15%",407,"55,86%",36,Neveronių  (Nr.18) apylinkė  
Petras MIKELIONIS,,"40,85%",284,"38,59%",22,Neveronių  (Nr.18) apylinkė  
Donatas JANKAUSKAS,,"66,07%",413,"61,45%",27,Ramučių  (Nr.17) apylinkė  
Petras MIKELIONIS,,"33,93%",219,"31,56%",7,Ramučių  (Nr.17) apylinkė  
Donatas JANKAUSKAS,,"49,38%",250,"46,09%",27,Karmėlavos  (Nr.16) apylinkė  
Petras MIKELIONIS,,"50,62%",268,"47,25%",16,Karmėlavos  (Nr.16) apylinkė  
Donatas JANKAUSKAS,,"78,53%",409,"76,14%",41,Teleičių  (Nr.15) apylinkė  
Petras MIKELIONIS,,"21,47%",119,"20,81%",4,Teleičių  (Nr.15) apylinkė  
Donatas JANKAUSKAS,,"79,65%",216,"75,21%",54,Ilgakiemio  (Nr.14) apylinkė  
Petras MIKELIONIS,,"20,35%",62,"19,22%",7,Ilgakiemio  (Nr.14) apylinkė  
Donatas JANKAUSKAS,,"58,38%",88,"57,45%",20,Juragių  (Nr.13) apylinkė  
Petras MIKELIONIS,,"41,62%",59,"40,96%",18,Juragių  (Nr.13) apylinkė  
Donatas JANKAUSKAS,,"74,61%",112,"73,47%",32,Pažėrų  (Nr.2) apylinkė  
Petras MIKELIONIS,,"25,39%",38,"25,00%",11,Pažėrų  (Nr.2) apylinkė  
Donatas JANKAUSKAS,,"67,13%",229,"63,56%",10,Mastaičių  (Nr.1) apylinkė  
Petras MIKELIONIS,,"32,87%",117,"31,12%",0,Mastaičių  (Nr.1) apylinkė  
Juozas PALIONIS,,"33,99%",44,"32,39%",25,Pieštuvėnų  (Nr.33) apylinkė  
Vytautas KAMBLEVIČIUS,,"66,01%",94,"62,91%",40,Pieštuvėnų  (Nr.33) apylinkė  
