kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Kęstutis TRAPIKAS,Ignalinos - Švenčionių (Nr.53) apygarda,"6,60%","6,22%",810,178
Algirdas RADUŠYS,Ignalinos - Švenčionių (Nr.53) apygarda,"5,14%","4,85%",616,154
Vaclav VILKOIT,Ignalinos - Švenčionių (Nr.53) apygarda,"4,18%","3,94%",475,151
Algirdas ČEPONIS,Ignalinos - Švenčionių (Nr.53) apygarda,"1,64%","1,54%",162,83
Sandra ČESNULEVIČIŪTĖ,Ignalinos - Švenčionių (Nr.53) apygarda,"1,14%","1,07%",131,39
Marius KLIPČIUS,Ignalinos - Švenčionių (Nr.53) apygarda,"1,02%","0,96%",124,29
Jurij EKHARDT,Ignalinos - Švenčionių (Nr.53) apygarda,"0,56%","0,53%",54,30
Oleg KAUŠINIS,Ignalinos - Švenčionių (Nr.53) apygarda,"0,37%","0,35%",41,15
Algimantas DUMBRAVA,Zarasų - Visagino (Nr.52) apygarda,"29,88%","28,82%",4242,639
Rimvydas PODOLSKIS,Zarasų - Visagino (Nr.52) apygarda,"17,88%","17,25%",2312,609
Nikolajus GUSEVAS,Zarasų - Visagino (Nr.52) apygarda,"15,47%","14,92%",2142,385
Dalia ŠTRAUPAITĖ,Zarasų - Visagino (Nr.52) apygarda,"9,34%","9,01%",1356,170
Rimantas KUMPIS,Zarasų - Visagino (Nr.52) apygarda,"6,87%","6,62%",1048,74
Rokas ŽILINSKAS,Zarasų - Visagino (Nr.52) apygarda,"5,25%","5,06%",693,164
Gintaris PETRĖNAS,Zarasų - Visagino (Nr.52) apygarda,"3,86%","3,73%",502,129
Jurijus SUBOTINAS,Zarasų - Visagino (Nr.52) apygarda,"3,37%","3,25%",524,27
Tomas BARANOVAS,Zarasų - Visagino (Nr.52) apygarda,"2,29%","2,21%",305,69
Genrich SARBAJ,Zarasų - Visagino (Nr.52) apygarda,"2,06%","1,99%",317,20
Irina BUDAJEVA,Zarasų - Visagino (Nr.52) apygarda,"1,33%","1,28%",189,28
Rolandas URNIEŽIUS,Zarasų - Visagino (Nr.52) apygarda,"1,13%","1,09%",139,46
Romualdas TRIMONIS,Zarasų - Visagino (Nr.52) apygarda,"0,82%","0,79%",90,44
Tatjana ŠČIURINA,Zarasų - Visagino (Nr.52) apygarda,"0,27%","0,26%",41,3
Alina LITVINOVIČ,Zarasų - Visagino (Nr.52) apygarda,"0,17%","0,17%",21,7
Milda PETRAUSKIENĖ,Utenos (Nr.51) apygarda,"28,00%","26,80%",4747,697
Edmundas PUPINIS,Utenos (Nr.51) apygarda,"26,41%","25,28%",4433,702
Egidijus GOVEDAS,Utenos (Nr.51) apygarda,"14,33%","13,71%",2496,289
Osvaldas KATINAS,Utenos (Nr.51) apygarda,"7,75%","7,41%",1287,219
Marijus KAUKĖNAS,Utenos (Nr.51) apygarda,"6,87%","6,57%",1221,114
Vytautas PEČIŪRA,Utenos (Nr.51) apygarda,"5,25%","5,02%",924,96
Algimantas MATULEVIČIUS,Utenos (Nr.51) apygarda,"3,66%","3,51%",607,105
Vladas VITAS,Utenos (Nr.51) apygarda,"3,27%","3,13%",580,56
Arvydas ŠALTENIS,Utenos (Nr.51) apygarda,"2,55%","2,44%",394,102
Edita STUNDŽIAITĖ,Utenos (Nr.51) apygarda,"1,22%","1,17%",206,32
Vidutis BAREIKIS,Utenos (Nr.51) apygarda,"0,46%","0,44%",76,13
Arvydas RAKAUSKAS,Utenos (Nr.51) apygarda,"0,23%","0,22%",38,6
Vytautas SAULIS,Rokiškio (Nr.50) apygarda,"27,44%","26,41%",3828,636
Aloyzas JOČYS,Rokiškio (Nr.50) apygarda,"21,01%","20,22%",2948,470
Algis KAZULĖNAS,Rokiškio (Nr.50) apygarda,"12,41%","11,94%",1561,457
Egidijus VILIMAS,Rokiškio (Nr.50) apygarda,"11,93%","11,48%",1668,272
Viktoras JENCIUS,Rokiškio (Nr.50) apygarda,"6,55%","6,31%",942,124
Algimantas ŠABLINSKAS,Rokiškio (Nr.50) apygarda,"5,75%","5,54%",815,121
Virginijus LUKOŠIŪNAS,Rokiškio (Nr.50) apygarda,"4,44%","4,27%",654,68
Gintautas REKERTA,Rokiškio (Nr.50) apygarda,"4,38%","4,21%",539,173
Haroldas SANIUKAS,Rokiškio (Nr.50) apygarda,"3,11%","2,99%",455,51
Gintaras BINKAUSKAS,Rokiškio (Nr.50) apygarda,"1,65%","1,59%",201,67
Valdas VARNAS,Rokiškio (Nr.50) apygarda,"0,94%","0,91%",135,18
Pranas VIDUOLIS,Rokiškio (Nr.50) apygarda,"0,39%","0,38%",46,18
Ričardas SARGŪNAS,Anykščių - Kupiškio (Nr.49) apygarda,"20,23%","19,26%",2921,494
Jonas ŠIMĖNAS,Anykščių - Kupiškio (Nr.49) apygarda,"14,03%","13,35%",1759,609
Kęstutis TUBIS,Anykščių - Kupiškio (Nr.49) apygarda,"13,04%","12,41%",1850,351
Vytautas GALVONAS,Anykščių - Kupiškio (Nr.49) apygarda,"12,91%","12,29%",1886,294
Alvydas ŽALA,Anykščių - Kupiškio (Nr.49) apygarda,"11,98%","11,41%",1691,332
Vidmantas PALIULIS,Anykščių - Kupiškio (Nr.49) apygarda,"10,18%","9,69%",1471,248
Leonas ALESIONKA,Anykščių - Kupiškio (Nr.49) apygarda,"6,79%","6,46%",920,226
Jūratė GRICIŪTĖ,Anykščių - Kupiškio (Nr.49) apygarda,"4,35%","4,14%",563,171
Rasma BUZIENĖ,Anykščių - Kupiškio (Nr.49) apygarda,"4,05%","3,86%",573,111
Tomas BARANAUSKAS,Anykščių - Kupiškio (Nr.49) apygarda,"1,09%","1,04%",150,34
Rosvaldas GORBAČIOVAS,Anykščių - Kupiškio (Nr.49) apygarda,"0,88%","0,84%",122,27
Aurelija KAIRIENĖ,Anykščių - Kupiškio (Nr.49) apygarda,"0,46%","0,44%",56,22
Aleksandras ZELTINIS,Biržų - Kupiškio (Nr.48) apygarda,"18,00%","17,15%",2586,498
Ritas VAIGINAS,Biržų - Kupiškio (Nr.48) apygarda,"17,97%","17,12%",2727,352
Nijolė ŠATIENĖ,Biržų - Kupiškio (Nr.48) apygarda,"17,83%","16,99%",2533,522
Dalius BITAITIS,Biržų - Kupiškio (Nr.48) apygarda,"10,73%","10,23%",1477,362
Kęstutis SLAVINSKAS,Biržų - Kupiškio (Nr.48) apygarda,"7,58%","7,22%",1114,185
Marius JUKONIS,Biržų - Kupiškio (Nr.48) apygarda,"5,52%","5,25%",803,142
Tautrimas JANUŠEVIČIUS,Biržų - Kupiškio (Nr.48) apygarda,"5,50%","5,24%",817,126
Žydrūnas SAVICKAS,Biržų - Kupiškio (Nr.48) apygarda,"5,16%","4,92%",714,170
Valdemaras VALKIŪNAS,Biržų - Kupiškio (Nr.48) apygarda,"3,02%","2,87%",393,124
Dangirdas MIKŠYS,Biržų - Kupiškio (Nr.48) apygarda,"2,71%","2,59%",395,70
Juozas UŽKURĖLIS,Biržų - Kupiškio (Nr.48) apygarda,"2,29%","2,18%",332,60
Stasys VALIUKAS,Biržų - Kupiškio (Nr.48) apygarda,"1,74%","1,66%",241,57
Algirdas KIZNIS,Biržų - Kupiškio (Nr.48) apygarda,"1,20%","1,15%",184,22
Vilmantas MOCERENKO,Biržų - Kupiškio (Nr.48) apygarda,"0,37%","0,36%",48,16
Jolita TUROVAITĖ KAIRIENĖ,Biržų - Kupiškio (Nr.48) apygarda,"0,37%","0,36%",52,12
Antanas MATULAS,Pasvalio - Panevėžio (Nr.47) apygarda,"37,19%","35,01%",4773,1245
Vytautas LIEPA,Pasvalio - Panevėžio (Nr.47) apygarda,"20,02%","18,85%",2816,424
Alfonsas PULOKAS,Pasvalio - Panevėžio (Nr.47) apygarda,"18,44%","17,36%",2533,451
Pranciškus Alfredas ŠLIUŽAS,Pasvalio - Panevėžio (Nr.47) apygarda,"7,19%","6,77%",1039,124
Vidas ANILIONIS,Pasvalio - Panevėžio (Nr.47) apygarda,"5,36%","5,05%",741,127
Rytis SALADŽIUS,Pasvalio - Panevėžio (Nr.47) apygarda,"4,43%","4,17%",638,79
Romanas Algimantas SEDLICKAS,Pasvalio - Panevėžio (Nr.47) apygarda,"1,97%","1,85%",286,32
Mindaugas LADIGA,Pasvalio - Panevėžio (Nr.47) apygarda,"1,67%","1,58%",221,50
Donatas GOLUBEVAS,Pasvalio - Panevėžio (Nr.47) apygarda,"1,32%","1,24%",195,18
Daiva PETRAITIENĖ,Pasvalio - Panevėžio (Nr.47) apygarda,"1,10%","1,04%",131,47
Laima SAKALIENĖ,Pasvalio - Panevėžio (Nr.47) apygarda,"0,78%","0,73%",107,19
Robertas FILISTOVIČIUS,Pasvalio - Panevėžio (Nr.47) apygarda,"0,53%","0,49%",72,13
Vitalijus GAILIUS,Pakruojo - Joniškio (Nr.46) apygarda,"30,62%","29,31%",4319,680
Stasys TUMĖNAS,Pakruojo - Joniškio (Nr.46) apygarda,"14,26%","13,65%",1991,338
Vigilijus JUKNA,Pakruojo - Joniškio (Nr.46) apygarda,"13,49%","12,91%",1862,340
Vygantas SUDARIS,Pakruojo - Joniškio (Nr.46) apygarda,"10,53%","10,08%",1298,422
Jonas JURGELIŪNAS,Pakruojo - Joniškio (Nr.46) apygarda,"8,47%","8,11%",1131,252
Edita RUDIENĖ,Pakruojo - Joniškio (Nr.46) apygarda,"6,05%","5,79%",797,191
Saulius GEGIECKAS,Pakruojo - Joniškio (Nr.46) apygarda,"5,52%","5,29%",756,146
Gediminas GRYBĖ,Pakruojo - Joniškio (Nr.46) apygarda,"4,31%","4,13%",610,94
Egidijus BALTUŠIS,Pakruojo - Joniškio (Nr.46) apygarda,"3,11%","2,97%",440,67
Kęstutis MALINAUSKAS,Pakruojo - Joniškio (Nr.46) apygarda,"1,90%","1,82%",257,53
Voldemaras BANDŽIUKAS,Pakruojo - Joniškio (Nr.46) apygarda,"1,74%","1,67%",209,75
Rima BAŠKIENĖ,Šiaulių kaimiškoji (Nr.45) apygarda,"31,91%","29,95%",4811,409
Linas ANDRULIS,Šiaulių kaimiškoji (Nr.45) apygarda,"24,77%","23,25%",3550,502
Ingrida VENCIUVIENĖ,Šiaulių kaimiškoji (Nr.45) apygarda,"16,11%","15,12%",2389,247
Arūnas JUŠKA,Šiaulių kaimiškoji (Nr.45) apygarda,"7,62%","7,15%",1130,117
Ernestas JUŠKA,Šiaulių kaimiškoji (Nr.45) apygarda,"7,22%","6,78%",1076,105
Vidmantas JAPERTAS,Šiaulių kaimiškoji (Nr.45) apygarda,"4,58%","4,30%",675,74
Algis MAČIULIS,Šiaulių kaimiškoji (Nr.45) apygarda,"3,81%","3,57%",553,70
Rimvydas TAMULAITIS,Šiaulių kaimiškoji (Nr.45) apygarda,"1,23%","1,16%",190,12
Sonata BRUŽAITĖ,Šiaulių kaimiškoji (Nr.45) apygarda,"0,93%","0,87%",123,29
Reimundas VARAPICKAS,Šiaulių kaimiškoji (Nr.45) apygarda,"0,60%","0,56%",92,6
Renata MACIENĖ,Šiaulių kaimiškoji (Nr.45) apygarda,"0,51%","0,48%",75,9
Audrius GOŠTAUTAS,Šiaulių kaimiškoji (Nr.45) apygarda,"0,43%","0,41%",64,7
Zita KLIKNIENĖ,Šiaulių kaimiškoji (Nr.45) apygarda,"0,28%","0,26%",40,5
Algimantas SALAMAKINAS,Radviliškio (Nr.44) apygarda,"32,39%","30,75%",4939,640
Zita ŽVIKIENĖ,Radviliškio (Nr.44) apygarda,"20,77%","19,72%",3129,449
Vytautas JUOZAPAITIS,Radviliškio (Nr.44) apygarda,"17,36%","16,48%",2370,620
Daiva RIBIKAUSKIENĖ,Radviliškio (Nr.44) apygarda,"7,04%","6,68%",1069,144
Laimutė ŠLAMIENĖ,Radviliškio (Nr.44) apygarda,"6,77%","6,43%",954,212
Audronė BERESNEVIČIENĖ,Radviliškio (Nr.44) apygarda,"5,87%","5,58%",834,178
Arimantas RAČKAUSKAS,Radviliškio (Nr.44) apygarda,"4,13%","3,92%",641,70
Daivis SUTKEVIČIUS,Radviliškio (Nr.44) apygarda,"1,96%","1,86%",310,28
Benediktas KRASNIAUSKAS,Radviliškio (Nr.44) apygarda,"1,54%","1,47%",221,45
Ričardas ČEKUTIS,Radviliškio (Nr.44) apygarda,"0,99%","0,94%",138,33
Arvydas ŽILINSKAS,Radviliškio (Nr.44) apygarda,"0,74%","0,70%",104,23
Ingrida VAICIKEVIČIENĖ,Radviliškio (Nr.44) apygarda,"0,44%","0,42%",62,14
Virginija BALTRAITIENĖ,Kėdainių (Nr.43) apygarda,"57,68%","54,70%",9155,1464
Saulius GRINKEVIČIUS,Kėdainių (Nr.43) apygarda,"11,06%","10,49%",1869,168
Kęstutis Danielius RIMKEVIČIUS,Kėdainių (Nr.43) apygarda,"7,90%","7,49%",1216,239
Kęstutis VIRBICKAS,Kėdainių (Nr.43) apygarda,"7,25%","6,87%",1179,155
Algirdas KARČIAUSKAS,Kėdainių (Nr.43) apygarda,"6,70%","6,35%",1136,97
Kristina KRUPAVIČIENĖ,Kėdainių (Nr.43) apygarda,"2,53%","2,40%",418,47
Valė MACIJAUSKIENĖ,Kėdainių (Nr.43) apygarda,"2,31%","2,19%",390,35
Paulius KIZERSKIS,Kėdainių (Nr.43) apygarda,"2,15%","2,04%",351,45
Marius KUNDROTAS,Kėdainių (Nr.43) apygarda,"0,93%","0,89%",154,18
Redas KIMANTAS,Kėdainių (Nr.43) apygarda,"0,77%","0,73%",138,3
Jonas PŪKAS,Kėdainių (Nr.43) apygarda,"0,52%","0,49%",80,16
Jurga ŠIUGŽDINYTĖ,Kėdainių (Nr.43) apygarda,"0,20%","0,19%",32,5
Edmundas JONYLA,Raseinių (Nr.42) apygarda,"30,74%","29,14%",4924,993
Darius ULICKAS,Raseinių (Nr.42) apygarda,"25,74%","24,40%",4375,579
Vida AČIENĖ,Raseinių (Nr.42) apygarda,"24,92%","23,62%",4158,638
Žilvinas LELEIVA,Raseinių (Nr.42) apygarda,"4,86%","4,61%",711,225
Erika DRUNGYTĖ,Raseinių (Nr.42) apygarda,"3,80%","3,60%",645,86
Artūras RAULIČKIS,Raseinių (Nr.42) apygarda,"2,75%","2,61%",481,49
Petras VEŽBAVIČIUS,Raseinių (Nr.42) apygarda,"1,91%","1,81%",315,52
Andrius KASPARAVIČIUS,Raseinių (Nr.42) apygarda,"1,63%","1,55%",280,34
Jonas MAŽINTAS,Raseinių (Nr.42) apygarda,"1,19%","1,13%",190,40
Modestas KLIKNA,Raseinių (Nr.42) apygarda,"1,17%","1,11%",186,40
Rimas STANKŪNAS,Raseinių (Nr.42) apygarda,"0,65%","0,62%",102,23
Žydrūnas GRENCEVIČIUS,Raseinių (Nr.42) apygarda,"0,40%","0,38%",66,11
Edita NAVAKAUSKIENĖ,Raseinių (Nr.42) apygarda,"0,23%","0,22%",37,8
Alma MONKAUSKAITĖ,Kelmės (Nr.41) apygarda,"23,20%","22,22%",2671,495
Izidorius ŠIMKUS,Kelmės (Nr.41) apygarda,"18,75%","17,95%",2238,320
Borisas MARKULIS,Kelmės (Nr.41) apygarda,"14,65%","14,03%",1724,275
Kęstutis BILIUS,Kelmės (Nr.41) apygarda,"11,98%","11,47%",1402,232
Kęstutis MASIULIS,Kelmės (Nr.41) apygarda,"11,40%","10,92%",1218,338
Petras BERESNEVIČIUS,Kelmės (Nr.41) apygarda,"7,73%","7,40%",863,192
Algis Petras KRUTKEVIČIUS,Kelmės (Nr.41) apygarda,"4,57%","4,37%",542,81
Alė JURGAITIENĖ,Kelmės (Nr.41) apygarda,"3,88%","3,71%",465,64
Regina MUSNECKIENĖ,Kelmės (Nr.41) apygarda,"2,59%","2,48%",285,69
Laimutė BURBIENĖ,Kelmės (Nr.41) apygarda,"0,80%","0,76%",86,23
Jonas MARCINKUS,Kelmės (Nr.41) apygarda,"0,45%","0,44%",45,17
Valentinas BUKAUSKAS,Telšių (Nr.40) apygarda,"38,69%","37,16%",6351,726
Vytautas KLEIVA,Telšių (Nr.40) apygarda,"15,80%","15,18%",2533,357
Irena SKERNEVIČIŪTĖ,Telšių (Nr.40) apygarda,"12,26%","11,78%",1867,376
Gediminas VAGNORIUS,Telšių (Nr.40) apygarda,"12,26%","11,77%",1982,260
Vilma SAVICKIENĖ,Telšių (Nr.40) apygarda,"6,34%","6,09%",987,173
Vytautas RAKICKAS,Telšių (Nr.40) apygarda,"3,68%","3,53%",607,66
Alvydas JOKŠAS,Telšių (Nr.40) apygarda,"3,16%","3,04%",510,68
Tatjana ŽGUNOVA,Telšių (Nr.40) apygarda,"2,41%","2,32%",394,47
Paulius RUMBUTIS,Telšių (Nr.40) apygarda,"2,37%","2,28%",353,81
Deivydas RUBEŽIUS,Telšių (Nr.40) apygarda,"1,15%","1,11%",183,28
Leonas Kęstutis DUNAUSKAS,Telšių (Nr.40) apygarda,"0,77%","0,74%",119,22
Vaclovas RINGYS,Telšių (Nr.40) apygarda,"0,77%","0,74%",123,17
Gintaras SABECKIS,Telšių (Nr.40) apygarda,"0,34%","0,33%",56,6
Saulius BUCEVIČIUS,Akmenės - Joniškio (Nr.39) apygarda,"33,97%","32,35%",4250,617
Zofija PAULIKIENĖ,Akmenės - Joniškio (Nr.39) apygarda,"16,75%","15,95%",2012,388
Apolinaras NICIUS,Akmenės - Joniškio (Nr.39) apygarda,"15,93%","15,18%",2041,242
Valius ĄŽUOLAS,Akmenės - Joniškio (Nr.39) apygarda,"9,32%","8,87%",1177,158
Raimondas BITINAS,Akmenės - Joniškio (Nr.39) apygarda,"8,94%","8,52%",1120,161
Artūras LISTAVIČIUS,Akmenės - Joniškio (Nr.39) apygarda,"7,10%","6,76%",823,194
Artūras VAŠKEVIČIUS,Akmenės - Joniškio (Nr.39) apygarda,"2,53%","2,41%",298,65
Jolanta Ada JANUITIENĖ,Akmenės - Joniškio (Nr.39) apygarda,"1,99%","1,89%",236,49
Nijolė VILIENĖ,Akmenės - Joniškio (Nr.39) apygarda,"1,43%","1,36%",176,29
Audronė MILTENIENĖ,Akmenės - Joniškio (Nr.39) apygarda,"1,14%","1,08%",146,17
Daiva AUGUSTINIENĖ,Akmenės - Joniškio (Nr.39) apygarda,"0,90%","0,86%",107,22
Kęstutis BARTKEVIČIUS,Mažeikių (Nr.38) apygarda,"18,56%","17,60%",2909,166
Laima NAGIENĖ,Mažeikių (Nr.38) apygarda,"15,67%","14,87%",2405,192
Romas VENCLOVAS,Mažeikių (Nr.38) apygarda,"13,87%","13,16%",2145,153
Lina RIMKIENĖ,Mažeikių (Nr.38) apygarda,"9,52%","9,03%",1375,203
Stanislovas GIEDRAITIS,Mažeikių (Nr.38) apygarda,"8,48%","8,04%",1300,105
Audronė MALŪKIENĖ,Mažeikių (Nr.38) apygarda,"6,52%","6,19%",999,82
Aurelija GURSKIENĖ,Mažeikių (Nr.38) apygarda,"6,07%","5,75%",939,66
Daiva ŠIDEIKIENĖ,Mažeikių (Nr.38) apygarda,"5,50%","5,22%",863,48
Apolinaras STONKUS,Mažeikių (Nr.38) apygarda,"4,56%","4,32%",687,68
Virgilijus EIDIMTAS,Mažeikių (Nr.38) apygarda,"3,92%","3,72%",572,78
Pranas NOREIKA,Mažeikių (Nr.38) apygarda,"3,27%","3,10%",503,38
Vygantas GROSS,Mažeikių (Nr.38) apygarda,"1,57%","1,49%",234,26
Virginijus SUNGAILA,Mažeikių (Nr.38) apygarda,"1,30%","1,24%",198,18
Gintaras BERŽANSKIS,Mažeikių (Nr.38) apygarda,"1,19%","1,13%",177,20
Audronė PITRĖNIENĖ,Skuodo  - Mažeikių (Nr.37) apygarda,"20,42%","19,45%",2450,357
Gediminas ANUŽIS,Skuodo  - Mažeikių (Nr.37) apygarda,"18,07%","17,22%",1961,524
Bronislovas STASIULIS,Skuodo  - Mažeikių (Nr.37) apygarda,"14,47%","13,78%",1679,310
Aldona STAPONKIENĖ,Skuodo  - Mažeikių (Nr.37) apygarda,"14,44%","13,76%",1723,262
Adomas STATKUS,Skuodo  - Mažeikių (Nr.37) apygarda,"8,84%","8,43%",1095,121
Jonas DAPŠAUSKAS,Skuodo  - Mažeikių (Nr.37) apygarda,"6,58%","6,27%",788,117
Antanas NAUJOKAS,Skuodo  - Mažeikių (Nr.37) apygarda,"5,14%","4,90%",623,84
Kęstutis DVARŽECKIS,Skuodo  - Mažeikių (Nr.37) apygarda,"4,73%","4,51%",574,77
Stasys VAINORAS,Skuodo  - Mažeikių (Nr.37) apygarda,"4,12%","3,92%",463,103
Romualdas ŠLIOGERIS,Skuodo  - Mažeikių (Nr.37) apygarda,"1,73%","1,65%",207,31
Irena SIMUTIENĖ,Skuodo  - Mažeikių (Nr.37) apygarda,"1,45%","1,39%",174,26
Vaidotas BACEVIČIUS,Kretingos (Nr.36) apygarda,"19,17%","17,98%",2512,495
Jolita VAICKIENĖ,Kretingos (Nr.36) apygarda,"18,51%","17,36%",2604,299
Dainius BUDRYS,Kretingos (Nr.36) apygarda,"17,21%","16,14%",2432,268
Giedrius MOZŪRAITIS,Kretingos (Nr.36) apygarda,"15,46%","14,50%",2158,267
Almantas SKRUIBYS,Kretingos (Nr.36) apygarda,"9,10%","8,54%",1266,162
Jurgis ZABILIUS,Kretingos (Nr.36) apygarda,"5,99%","5,62%",847,93
Janė NARVILIENĖ,Kretingos (Nr.36) apygarda,"4,62%","4,34%",641,84
Dainius KEPENIS,Kretingos (Nr.36) apygarda,"3,81%","3,58%",545,53
Jurijus PETROVAS,Kretingos (Nr.36) apygarda,"1,84%","1,72%",260,28
Arvydas GRIGAITIS,Kretingos (Nr.36) apygarda,"1,71%","1,60%",224,44
Vytautas ŠVANYS,Kretingos (Nr.36) apygarda,"1,14%","1,07%",157,22
Kęstutis RUPULEVIČIUS,Kretingos (Nr.36) apygarda,"0,85%","0,80%",123,10
Donatas BARTKUS,Kretingos (Nr.36) apygarda,"0,59%","0,56%",53,40
Jurgis RAZMA,Plungės - Rietavo (Nr.35) apygarda,"30,20%","28,40%",4613,929
Mindaugas JURČIUS,Plungės - Rietavo (Nr.35) apygarda,"16,97%","15,95%",2800,313
Rimantas VAITKUS,Plungės - Rietavo (Nr.35) apygarda,"14,01%","13,17%",2273,297
Audrius KLIŠONIS,Plungės - Rietavo (Nr.35) apygarda,"13,02%","12,24%",2131,258
Andriejus STANČIKAS,Plungės - Rietavo (Nr.35) apygarda,"9,29%","8,73%",1555,149
Albinas KLIMAS,Plungės - Rietavo (Nr.35) apygarda,"7,60%","7,14%",1216,178
Jurgita CHOROMANSKYTĖ,Plungės - Rietavo (Nr.35) apygarda,"4,61%","4,33%",753,92
Petras BEINORAS,Plungės - Rietavo (Nr.35) apygarda,"3,19%","3,00%",475,110
Benas Renatas BALTUSIS,Plungės - Rietavo (Nr.35) apygarda,"1,13%","1,06%",184,23
Darius PETROŠIUS,Tauragės (Nr.34) apygarda,"31,62%","29,76%",4192,753
Stasys ŠEDBARAS,Tauragės (Nr.34) apygarda,"15,46%","14,54%",2030,387
Vaidotas GLOBYS,Tauragės (Nr.34) apygarda,"13,63%","12,82%",1903,228
Žilvinas MACIJAUSKAS,Tauragės (Nr.34) apygarda,"8,20%","7,71%",1163,119
Linas STANKUS,Tauragės (Nr.34) apygarda,"7,39%","6,95%",1047,108
Aušrinė NORKIENĖ,Tauragės (Nr.34) apygarda,"5,90%","5,55%",831,92
Egidijus KLUMBYS,Tauragės (Nr.34) apygarda,"5,71%","5,37%",758,135
Linas JANUŠONIS,Tauragės (Nr.34) apygarda,"5,04%","4,74%",722,66
Saulius OŽELIS,Tauragės (Nr.34) apygarda,"2,84%","2,67%",382,62
Edis BUDGINAS,Tauragės (Nr.34) apygarda,"2,14%","2,02%",301,34
Juozas JANKEVIČIUS,Tauragės (Nr.34) apygarda,"1,76%","1,65%",233,42
Edas MATULIS,Tauragės (Nr.34) apygarda,"0,32%","0,30%",40,10
Remigijus ŽEMAITAITIS,Šilalės - Šilutės (Nr.33) apygarda,"46,26%","44,25%",6859,970
Jonas GUDAUSKAS,Šilalės - Šilutės (Nr.33) apygarda,"19,62%","18,77%",2692,629
Albinas EŽERSKIS,Šilalės - Šilutės (Nr.33) apygarda,"17,28%","16,53%",2539,385
Vitas JAŠKAUSKAS,Šilalės - Šilutės (Nr.33) apygarda,"5,22%","5,00%",770,114
Teresė JANKAUSKIENĖ,Šilalės - Šilutės (Nr.33) apygarda,"3,42%","3,27%",508,70
Jonas ZAJANČKAUSKAS,Šilalės - Šilutės (Nr.33) apygarda,"2,20%","2,11%",318,55
Eugenijus DEGUTIS,Šilalės - Šilutės (Nr.33) apygarda,"2,12%","2,03%",278,81
Kęstutis VILNIŠKIS,Šilalės - Šilutės (Nr.33) apygarda,"1,46%","1,40%",219,28
Artūras KILTINAVIČIUS,Šilalės - Šilutės (Nr.33) apygarda,"1,41%","1,35%",199,40
Magdelena AUŠKALNIENĖ,Šilalės - Šilutės (Nr.33) apygarda,"0,48%","0,46%",69,12
Danutė BUDREIKAITĖ,Šilalės - Šilutės (Nr.33) apygarda,"0,29%","0,28%",41,8
Antanas ČEBATARIŪNAS,Šilalės - Šilutės (Nr.33) apygarda,"0,24%","0,23%",32,9
Kęstas KOMSKIS,Šilutės - Pagėgių (Nr.32) apygarda,"29,32%","27,26%",4148,1012
Artūras SKARDŽIUS,Šilutės - Pagėgių (Nr.32) apygarda,"15,62%","14,53%",2386,364
Saulius STANKEVIČIUS,Šilutės - Pagėgių (Nr.32) apygarda,"12,62%","11,74%",1913,309
Arvydas JAKAS,Šilutės - Pagėgių (Nr.32) apygarda,"9,98%","9,28%",1536,220
Edvinas KRUNGOLCAS,Šilutės - Pagėgių (Nr.32) apygarda,"7,62%","7,08%",1133,208
Saulius JUODZEVIČIUS,Šilutės - Pagėgių (Nr.32) apygarda,"7,10%","6,60%",1159,90
Raimondas PLIKŠNYS,Šilutės - Pagėgių (Nr.32) apygarda,"6,97%","6,48%",1116,111
Arūnas VALINSKAS,Šilutės - Pagėgių (Nr.32) apygarda,"5,48%","5,10%",824,141
Bronius MARKAUSKAS,Šilutės - Pagėgių (Nr.32) apygarda,"4,20%","3,91%",678,62
Donatas JANČARAS,Šilutės - Pagėgių (Nr.32) apygarda,"1,09%","1,01%",155,36
Petras GRAŽULIS,Gargždų (Nr.31) apygarda,"31,13%","29,50%",5207,756
Agnė BILOTAITĖ,Gargždų (Nr.31) apygarda,"29,58%","28,04%",4957,710
Andžela ŠAKINIENĖ,Gargždų (Nr.31) apygarda,"8,62%","8,17%",1501,150
Antanas VALYS,Gargždų (Nr.31) apygarda,"7,91%","7,50%",1366,150
Egidijus SKARBALIUS,Gargždų (Nr.31) apygarda,"5,94%","5,63%",1038,100
Diana STANKAITIENĖ,Gargždų (Nr.31) apygarda,"5,16%","4,89%",898,91
Aivaras VASYLIUS,Gargždų (Nr.31) apygarda,"3,50%","3,32%",601,70
Nijolė KATKIENĖ,Gargždų (Nr.31) apygarda,"3,01%","2,85%",512,64
Renatas BERNIKAS,Gargždų (Nr.31) apygarda,"1,88%","1,79%",343,18
Antanas JASAS,Gargždų (Nr.31) apygarda,"1,67%","1,58%",294,26
Mindaugas KRENCIUS,Gargždų (Nr.31) apygarda,"0,67%","0,64%",119,10
Loreta RUPEIKIENĖ,Gargždų (Nr.31) apygarda,"0,57%","0,54%",97,13
Edgaras ŽUKAUSKAS,Gargždų (Nr.31) apygarda,"0,34%","0,33%",55,11
Kęstutis DAUKŠYS,Alytaus (Nr.30) apygarda,"28,36%","26,73%",4866,456
Julius SABATAUSKAS,Alytaus (Nr.30) apygarda,"23,94%","22,57%",4253,241
Auksutė RAMANAUSKAITĖ-SKOKAUSKIENĖ,Alytaus (Nr.30) apygarda,"10,88%","10,25%",1841,201
