kandidatas,nuo_galiojanciu_biuleteniu,balsadezeje,nuo_rinkeju,pastu,apylinke
Alvydas RAMANAUSKAS,"3,91%",2,"3,76%",5,Lėno  (Nr.20) apylinkė  
Galina CHATKEVIČ,"0,00%",0,"0,00%",0,Lėno  (Nr.20) apylinkė  
Lina SUKACKIENĖ,"0,56%",1,"0,54%",0,Lėno  (Nr.20) apylinkė  
Eglė PETRAITIENĖ,"1,12%",1,"1,08%",1,Lėno  (Nr.20) apylinkė  
Julius VESELKA,"17,05%",27,"15,74%",10,Balelių  (Nr.19) apylinkė  
Janina GALIAUSKIENĖ,"20,28%",25,"18,72%",19,Balelių  (Nr.19) apylinkė  
Loreta GRAUŽINIENĖ,"13,36%",26,"12,34%",3,Balelių  (Nr.19) apylinkė  
Juozas ARMANAVIČIUS,"32,72%",62,"30,21%",9,Balelių  (Nr.19) apylinkė  
Arūnas JASAITIS,"6,45%",6,"5,96%",8,Balelių  (Nr.19) apylinkė  
Darius GUTAUSKAS,"0,92%",2,"0,85%",0,Balelių  (Nr.19) apylinkė  
Elena MIRINAVIČIENĖ,"2,76%",5,"2,55%",1,Balelių  (Nr.19) apylinkė  
Alvydas RAMANAUSKAS,"5,53%",11,"5,11%",1,Balelių  (Nr.19) apylinkė  
Galina CHATKEVIČ,"0,00%",0,"0,00%",0,Balelių  (Nr.19) apylinkė  
Lina SUKACKIENĖ,"0,92%",2,"0,85%",0,Balelių  (Nr.19) apylinkė  
Eglė PETRAITIENĖ,"0,00%",0,"0,00%",0,Balelių  (Nr.19) apylinkė  
Julius VESELKA,"27,15%",75,"25,45%",23,Taujėnų  (Nr.18) apylinkė  
Janina GALIAUSKIENĖ,"29,36%",80,"27,53%",26,Taujėnų  (Nr.18) apylinkė  
Loreta GRAUŽINIENĖ,"18,84%",52,"17,66%",16,Taujėnų  (Nr.18) apylinkė  
Juozas ARMANAVIČIUS,"4,16%",12,"3,90%",3,Taujėnų  (Nr.18) apylinkė  
Arūnas JASAITIS,"2,49%",7,"2,34%",2,Taujėnų  (Nr.18) apylinkė  
Darius GUTAUSKAS,"4,99%",14,"4,68%",4,Taujėnų  (Nr.18) apylinkė  
Elena MIRINAVIČIENĖ,"8,59%",28,"8,05%",3,Taujėnų  (Nr.18) apylinkė  
Alvydas RAMANAUSKAS,"1,39%",5,"1,30%",0,Taujėnų  (Nr.18) apylinkė  
Galina CHATKEVIČ,"0,55%",1,"0,52%",1,Taujėnų  (Nr.18) apylinkė  
Lina SUKACKIENĖ,"1,94%",6,"1,82%",1,Taujėnų  (Nr.18) apylinkė  
Eglė PETRAITIENĖ,"0,55%",1,"0,52%",1,Taujėnų  (Nr.18) apylinkė  
Julius VESELKA,"31,69%",42,"30,00%",3,Tulpiakiemio  (Nr.17) apylinkė  
Janina GALIAUSKIENĖ,"15,49%",17,"14,67%",5,Tulpiakiemio  (Nr.17) apylinkė  
Loreta GRAUŽINIENĖ,"11,27%",10,"10,67%",6,Tulpiakiemio  (Nr.17) apylinkė  
Juozas ARMANAVIČIUS,"4,93%",7,"4,67%",0,Tulpiakiemio  (Nr.17) apylinkė  
Arūnas JASAITIS,"4,23%",5,"4,00%",1,Tulpiakiemio  (Nr.17) apylinkė  
Darius GUTAUSKAS,"6,34%",9,"6,00%",0,Tulpiakiemio  (Nr.17) apylinkė  
Elena MIRINAVIČIENĖ,"18,31%",21,"17,33%",5,Tulpiakiemio  (Nr.17) apylinkė  
Alvydas RAMANAUSKAS,"4,93%",7,"4,67%",0,Tulpiakiemio  (Nr.17) apylinkė  
Galina CHATKEVIČ,"0,70%",1,"0,67%",0,Tulpiakiemio  (Nr.17) apylinkė  
Lina SUKACKIENĖ,"1,41%",1,"1,33%",1,Tulpiakiemio  (Nr.17) apylinkė  
Eglė PETRAITIENĖ,"0,70%",1,"0,67%",0,Tulpiakiemio  (Nr.17) apylinkė  
Julius VESELKA,"40,48%",69,"38,99%",16,Petronių  (Nr.16) apylinkė  
Janina GALIAUSKIENĖ,"18,10%",25,"17,43%",13,Petronių  (Nr.16) apylinkė  
Loreta GRAUŽINIENĖ,"13,81%",23,"13,30%",6,Petronių  (Nr.16) apylinkė  
Juozas ARMANAVIČIUS,"6,19%",8,"5,96%",5,Petronių  (Nr.16) apylinkė  
Arūnas JASAITIS,"4,29%",9,"4,13%",0,Petronių  (Nr.16) apylinkė  
Darius GUTAUSKAS,"4,76%",8,"4,59%",2,Petronių  (Nr.16) apylinkė  
Elena MIRINAVIČIENĖ,"10,00%",19,"9,63%",2,Petronių  (Nr.16) apylinkė  
Alvydas RAMANAUSKAS,"0,48%",1,"0,46%",0,Petronių  (Nr.16) apylinkė  
Galina CHATKEVIČ,"1,43%",2,"1,38%",1,Petronių  (Nr.16) apylinkė  
Lina SUKACKIENĖ,"0,48%",0,"0,46%",1,Petronių  (Nr.16) apylinkė  
Eglė PETRAITIENĖ,"0,00%",0,"0,00%",0,Petronių  (Nr.16) apylinkė  
Julius VESELKA,"56,81%",154,"53,44%",17,Siesikų  (Nr.15) apylinkė  
Janina GALIAUSKIENĖ,"14,62%",32,"13,75%",12,Siesikų  (Nr.15) apylinkė  
Loreta GRAUŽINIENĖ,"8,97%",24,"8,44%",3,Siesikų  (Nr.15) apylinkė  
Juozas ARMANAVIČIUS,"4,65%",13,"4,38%",1,Siesikų  (Nr.15) apylinkė  
Arūnas JASAITIS,"4,98%",12,"4,69%",3,Siesikų  (Nr.15) apylinkė  
Darius GUTAUSKAS,"3,65%",11,"3,44%",0,Siesikų  (Nr.15) apylinkė  
Elena MIRINAVIČIENĖ,"2,33%",7,"2,19%",0,Siesikų  (Nr.15) apylinkė  
Alvydas RAMANAUSKAS,"2,33%",7,"2,19%",0,Siesikų  (Nr.15) apylinkė  
Galina CHATKEVIČ,"0,66%",0,"0,62%",2,Siesikų  (Nr.15) apylinkė  
Lina SUKACKIENĖ,"0,33%",1,"0,31%",0,Siesikų  (Nr.15) apylinkė  
Eglė PETRAITIENĖ,"0,66%",2,"0,62%",0,Siesikų  (Nr.15) apylinkė  
Julius VESELKA,"26,65%",117,"25,00%",8,Pašilės  (Nr.14) apylinkė  
Janina GALIAUSKIENĖ,"26,65%",112,"25,00%",13,Pašilės  (Nr.14) apylinkė  
Loreta GRAUŽINIENĖ,"10,87%",49,"10,20%",2,Pašilės  (Nr.14) apylinkė  
Juozas ARMANAVIČIUS,"10,87%",47,"10,20%",4,Pašilės  (Nr.14) apylinkė  
Arūnas JASAITIS,"8,53%",40,"8,00%",0,Pašilės  (Nr.14) apylinkė  
Darius GUTAUSKAS,"7,68%",36,"7,20%",0,Pašilės  (Nr.14) apylinkė  
Elena MIRINAVIČIENĖ,"5,12%",24,"4,80%",0,Pašilės  (Nr.14) apylinkė  
Alvydas RAMANAUSKAS,"1,07%",5,"1,00%",0,Pašilės  (Nr.14) apylinkė  
Galina CHATKEVIČ,"0,21%",1,"0,20%",0,Pašilės  (Nr.14) apylinkė  
Lina SUKACKIENĖ,"1,28%",4,"1,20%",2,Pašilės  (Nr.14) apylinkė  
Eglė PETRAITIENĖ,"1,07%",5,"1,00%",0,Pašilės  (Nr.14) apylinkė  
Julius VESELKA,"29,50%",308,"28,41%",15,Pivonijos  (Nr.13) apylinkė  
Janina GALIAUSKIENĖ,"17,72%",181,"17,06%",13,Pivonijos  (Nr.13) apylinkė  
Loreta GRAUŽINIENĖ,"12,15%",124,"11,70%",9,Pivonijos  (Nr.13) apylinkė  
Juozas ARMANAVIČIUS,"13,24%",142,"12,75%",3,Pivonijos  (Nr.13) apylinkė  
Arūnas JASAITIS,"5,11%",52,"4,93%",4,Pivonijos  (Nr.13) apylinkė  
Darius GUTAUSKAS,"6,67%",71,"6,42%",2,Pivonijos  (Nr.13) apylinkė  
Elena MIRINAVIČIENĖ,"7,21%",72,"6,95%",7,Pivonijos  (Nr.13) apylinkė  
Alvydas RAMANAUSKAS,"4,93%",47,"4,75%",7,Pivonijos  (Nr.13) apylinkė  
Galina CHATKEVIČ,"1,28%",14,"1,23%",0,Pivonijos  (Nr.13) apylinkė  
Lina SUKACKIENĖ,"1,19%",11,"1,14%",2,Pivonijos  (Nr.13) apylinkė  
Eglė PETRAITIENĖ,"1,00%",10,"0,97%",1,Pivonijos  (Nr.13) apylinkė  
Julius VESELKA,"27,37%",398,"25,94%",21,Linų  (Nr.12) apylinkė  
Janina GALIAUSKIENĖ,"18,03%",257,"17,09%",19,Linų  (Nr.12) apylinkė  
Loreta GRAUŽINIENĖ,"12,54%",185,"11,89%",7,Linų  (Nr.12) apylinkė  
Juozas ARMANAVIČIUS,"15,41%",221,"14,61%",15,Linų  (Nr.12) apylinkė  
Arūnas JASAITIS,"7,58%",108,"7,18%",8,Linų  (Nr.12) apylinkė  
Darius GUTAUSKAS,"6,07%",89,"5,76%",4,Linų  (Nr.12) apylinkė  
Elena MIRINAVIČIENĖ,"4,25%",64,"4,02%",1,Linų  (Nr.12) apylinkė  
Alvydas RAMANAUSKAS,"5,75%",87,"5,45%",1,Linų  (Nr.12) apylinkė  
Galina CHATKEVIČ,"1,05%",15,"0,99%",1,Linų  (Nr.12) apylinkė  
Lina SUKACKIENĖ,"1,11%",16,"1,05%",1,Linų  (Nr.12) apylinkė  
Eglė PETRAITIENĖ,"0,85%",11,"0,80%",2,Linų  (Nr.12) apylinkė  
Julius VESELKA,"27,52%",331,"26,33%",21,Krekšlių  (Nr.11) apylinkė  
Janina GALIAUSKIENĖ,"26,35%",308,"25,21%",29,Krekšlių  (Nr.11) apylinkė  
Loreta GRAUŽINIENĖ,"8,13%",96,"7,78%",8,Krekšlių  (Nr.11) apylinkė  
Juozas ARMANAVIČIUS,"11,42%",133,"10,92%",13,Krekšlių  (Nr.11) apylinkė  
Arūnas JASAITIS,"5,55%",66,"5,31%",5,Krekšlių  (Nr.11) apylinkė  
Darius GUTAUSKAS,"7,11%",91,"6,81%",0,Krekšlių  (Nr.11) apylinkė  
Elena MIRINAVIČIENĖ,"4,69%",58,"4,49%",2,Krekšlių  (Nr.11) apylinkė  
Alvydas RAMANAUSKAS,"6,41%",75,"6,13%",7,Krekšlių  (Nr.11) apylinkė  
Galina CHATKEVIČ,"1,25%",12,"1,20%",4,Krekšlių  (Nr.11) apylinkė  
Lina SUKACKIENĖ,"0,86%",11,"0,82%",0,Krekšlių  (Nr.11) apylinkė  
Eglė PETRAITIENĖ,"0,70%",9,"0,67%",0,Krekšlių  (Nr.11) apylinkė  
Julius VESELKA,"30,03%",213,"28,66%",14,Smėlių  (Nr.10) apylinkė  
Janina GALIAUSKIENĖ,"24,34%",167,"23,23%",17,Smėlių  (Nr.10) apylinkė  
Loreta GRAUŽINIENĖ,"8,86%",66,"8,46%",1,Smėlių  (Nr.10) apylinkė  
Juozas ARMANAVIČIUS,"10,45%",75,"9,97%",4,Smėlių  (Nr.10) apylinkė  
Arūnas JASAITIS,"10,85%",74,"10,35%",8,Smėlių  (Nr.10) apylinkė  
Darius GUTAUSKAS,"7,80%",56,"7,45%",3,Smėlių  (Nr.10) apylinkė  
Elena MIRINAVIČIENĖ,"2,91%",20,"2,78%",2,Smėlių  (Nr.10) apylinkė  
Alvydas RAMANAUSKAS,"2,51%",18,"2,40%",1,Smėlių  (Nr.10) apylinkė  
Galina CHATKEVIČ,"1,46%",10,"1,39%",1,Smėlių  (Nr.10) apylinkė  
Lina SUKACKIENĖ,"0,40%",2,"0,38%",1,Smėlių  (Nr.10) apylinkė  
Eglė PETRAITIENĖ,"0,40%",3,"0,38%",0,Smėlių  (Nr.10) apylinkė  
Julius VESELKA,"36,35%",186,"34,46%",7,Kauno  (Nr.9) apylinkė  
Janina GALIAUSKIENĖ,"17,70%",86,"16,79%",8,Kauno  (Nr.9) apylinkė  
Loreta GRAUŽINIENĖ,"14,88%",76,"14,11%",3,Kauno  (Nr.9) apylinkė  
Juozas ARMANAVIČIUS,"7,72%",40,"7,32%",1,Kauno  (Nr.9) apylinkė  
Arūnas JASAITIS,"6,78%",36,"6,43%",0,Kauno  (Nr.9) apylinkė  
Darius GUTAUSKAS,"8,10%",40,"7,68%",3,Kauno  (Nr.9) apylinkė  
Elena MIRINAVIČIENĖ,"3,58%",19,"3,39%",0,Kauno  (Nr.9) apylinkė  
Alvydas RAMANAUSKAS,"2,26%",12,"2,14%",0,Kauno  (Nr.9) apylinkė  
Galina CHATKEVIČ,"1,32%",6,"1,25%",1,Kauno  (Nr.9) apylinkė  
Lina SUKACKIENĖ,"0,56%",3,"0,54%",0,Kauno  (Nr.9) apylinkė  
Eglė PETRAITIENĖ,"0,75%",4,"0,71%",0,Kauno  (Nr.9) apylinkė  
Julius VESELKA,"31,46%",114,"30,14%",15,Transporto  (Nr.8) apylinkė  
Janina GALIAUSKIENĖ,"19,02%",53,"18,22%",25,Transporto  (Nr.8) apylinkė  
Loreta GRAUŽINIENĖ,"13,41%",53,"12,85%",2,Transporto  (Nr.8) apylinkė  
Juozas ARMANAVIČIUS,"10,00%",40,"9,58%",1,Transporto  (Nr.8) apylinkė  
Arūnas JASAITIS,"6,34%",26,"6,07%",0,Transporto  (Nr.8) apylinkė  
Darius GUTAUSKAS,"6,34%",26,"6,07%",0,Transporto  (Nr.8) apylinkė  
Elena MIRINAVIČIENĖ,"4,15%",17,"3,97%",0,Transporto  (Nr.8) apylinkė  
Alvydas RAMANAUSKAS,"5,37%",21,"5,14%",1,Transporto  (Nr.8) apylinkė  
Galina CHATKEVIČ,"2,44%",10,"2,34%",0,Transporto  (Nr.8) apylinkė  
Lina SUKACKIENĖ,"0,73%",3,"0,70%",0,Transporto  (Nr.8) apylinkė  
Eglė PETRAITIENĖ,"0,73%",1,"0,70%",2,Transporto  (Nr.8) apylinkė  
Julius VESELKA,"30,99%",155,"29,16%",8,Klaipėdos  (Nr.7) apylinkė  
Janina GALIAUSKIENĖ,"23,38%",110,"22,00%",13,Klaipėdos  (Nr.7) apylinkė  
Loreta GRAUŽINIENĖ,"12,55%",59,"11,81%",7,Klaipėdos  (Nr.7) apylinkė  
Juozas ARMANAVIČIUS,"10,84%",50,"10,20%",7,Klaipėdos  (Nr.7) apylinkė  
Arūnas JASAITIS,"3,80%",18,"3,58%",2,Klaipėdos  (Nr.7) apylinkė  
Darius GUTAUSKAS,"5,13%",24,"4,83%",3,Klaipėdos  (Nr.7) apylinkė  
Elena MIRINAVIČIENĖ,"4,75%",19,"4,47%",6,Klaipėdos  (Nr.7) apylinkė  
Alvydas RAMANAUSKAS,"5,51%",29,"5,19%",0,Klaipėdos  (Nr.7) apylinkė  
Galina CHATKEVIČ,"0,95%",5,"0,89%",0,Klaipėdos  (Nr.7) apylinkė  
Lina SUKACKIENĖ,"1,33%",7,"1,25%",0,Klaipėdos  (Nr.7) apylinkė  
Eglė PETRAITIENĖ,"0,76%",3,"0,72%",1,Klaipėdos  (Nr.7) apylinkė  
Julius VESELKA,"26,35%",99,"24,62%",13,Kęstučio  (Nr.6) apylinkė  
Janina GALIAUSKIENĖ,"25,41%",101,"23,74%",7,Kęstučio  (Nr.6) apylinkė  
Loreta GRAUŽINIENĖ,"11,29%",44,"10,55%",4,Kęstučio  (Nr.6) apylinkė  
Juozas ARMANAVIČIUS,"10,12%",41,"9,45%",2,Kęstučio  (Nr.6) apylinkė  
Arūnas JASAITIS,"7,29%",29,"6,81%",2,Kęstučio  (Nr.6) apylinkė  
Darius GUTAUSKAS,"6,12%",25,"5,71%",1,Kęstučio  (Nr.6) apylinkė  
Elena MIRINAVIČIENĖ,"4,47%",17,"4,18%",2,Kęstučio  (Nr.6) apylinkė  
Alvydas RAMANAUSKAS,"6,12%",24,"5,71%",2,Kęstučio  (Nr.6) apylinkė  
Galina CHATKEVIČ,"1,41%",4,"1,32%",2,Kęstučio  (Nr.6) apylinkė  
Lina SUKACKIENĖ,"0,71%",3,"0,66%",0,Kęstučio  (Nr.6) apylinkė  
Eglė PETRAITIENĖ,"0,71%",3,"0,66%",0,Kęstučio  (Nr.6) apylinkė  
Julius VESELKA,"32,08%",155,"30,20%",15,Vytauto  (Nr.5) apylinkė  
Janina GALIAUSKIENĖ,"23,96%",112,"22,56%",15,Vytauto  (Nr.5) apylinkė  
Loreta GRAUŽINIENĖ,"11,13%",53,"10,48%",6,Vytauto  (Nr.5) apylinkė  
Juozas ARMANAVIČIUS,"9,62%",48,"9,06%",3,Vytauto  (Nr.5) apylinkė  
Arūnas JASAITIS,"5,28%",26,"4,97%",2,Vytauto  (Nr.5) apylinkė  
Darius GUTAUSKAS,"5,85%",29,"5,51%",2,Vytauto  (Nr.5) apylinkė  
Elena MIRINAVIČIENĖ,"3,40%",18,"3,20%",0,Vytauto  (Nr.5) apylinkė  
Alvydas RAMANAUSKAS,"4,91%",26,"4,62%",0,Vytauto  (Nr.5) apylinkė  
Galina CHATKEVIČ,"1,70%",9,"1,60%",0,Vytauto  (Nr.5) apylinkė  
Lina SUKACKIENĖ,"1,32%",6,"1,24%",1,Vytauto  (Nr.5) apylinkė  
Eglė PETRAITIENĖ,"0,75%",4,"0,71%",0,Vytauto  (Nr.5) apylinkė  
Julius VESELKA,"26,74%",136,"25,59%",6,J.Basanavičiaus  (Nr.4) apylinkė  
Janina GALIAUSKIENĖ,"23,54%",114,"22,52%",11,J.Basanavičiaus  (Nr.4) apylinkė  
Loreta GRAUŽINIENĖ,"10,92%",58,"10,45%",0,J.Basanavičiaus  (Nr.4) apylinkė  
Juozas ARMANAVIČIUS,"9,60%",44,"9,19%",7,J.Basanavičiaus  (Nr.4) apylinkė  
Arūnas JASAITIS,"7,91%",42,"7,57%",0,J.Basanavičiaus  (Nr.4) apylinkė  
Darius GUTAUSKAS,"8,85%",47,"8,47%",0,J.Basanavičiaus  (Nr.4) apylinkė  
Elena MIRINAVIČIENĖ,"4,90%",26,"4,68%",0,J.Basanavičiaus  (Nr.4) apylinkė  
Alvydas RAMANAUSKAS,"3,95%",20,"3,78%",1,J.Basanavičiaus  (Nr.4) apylinkė  
Galina CHATKEVIČ,"2,07%",9,"1,98%",2,J.Basanavičiaus  (Nr.4) apylinkė  
Lina SUKACKIENĖ,"1,13%",6,"1,08%",0,J.Basanavičiaus  (Nr.4) apylinkė  
Eglė PETRAITIENĖ,"0,38%",2,"0,36%",0,J.Basanavičiaus  (Nr.4) apylinkė  
Julius VESELKA,"28,07%",283,"27,00%",10,Maironio  (Nr.3) apylinkė  
Janina GALIAUSKIENĖ,"24,52%",234,"23,59%",22,Maironio  (Nr.3) apylinkė  
Loreta GRAUŽINIENĖ,"9,39%",91,"9,03%",7,Maironio  (Nr.3) apylinkė  
Juozas ARMANAVIČIUS,"8,91%",83,"8,57%",10,Maironio  (Nr.3) apylinkė  
Arūnas JASAITIS,"7,76%",78,"7,47%",3,Maironio  (Nr.3) apylinkė  
Darius GUTAUSKAS,"5,75%",58,"5,53%",2,Maironio  (Nr.3) apylinkė  
Elena MIRINAVIČIENĖ,"4,79%",46,"4,61%",4,Maironio  (Nr.3) apylinkė  
Alvydas RAMANAUSKAS,"5,27%",51,"5,07%",4,Maironio  (Nr.3) apylinkė  
Galina CHATKEVIČ,"1,92%",19,"1,84%",1,Maironio  (Nr.3) apylinkė  
Lina SUKACKIENĖ,"2,59%",23,"2,49%",4,Maironio  (Nr.3) apylinkė  
Eglė PETRAITIENĖ,"1,05%",9,"1,01%",2,Maironio  (Nr.3) apylinkė  
Julius VESELKA,"39,34%",256,"35,88%",30,Anykščių  (Nr.2) apylinkė  
Janina GALIAUSKIENĖ,"21,32%",127,"19,45%",28,Anykščių  (Nr.2) apylinkė  
Loreta GRAUŽINIENĖ,"8,25%",51,"7,53%",9,Anykščių  (Nr.2) apylinkė  
Juozas ARMANAVIČIUS,"10,18%",70,"9,28%",4,Anykščių  (Nr.2) apylinkė  
Arūnas JASAITIS,"5,09%",31,"4,64%",6,Anykščių  (Nr.2) apylinkė  
Darius GUTAUSKAS,"6,05%",41,"5,52%",3,Anykščių  (Nr.2) apylinkė  
Elena MIRINAVIČIENĖ,"3,58%",23,"3,26%",3,Anykščių  (Nr.2) apylinkė  
Alvydas RAMANAUSKAS,"2,75%",15,"2,51%",5,Anykščių  (Nr.2) apylinkė  
Galina CHATKEVIČ,"1,65%",11,"1,51%",1,Anykščių  (Nr.2) apylinkė  
Lina SUKACKIENĖ,"1,10%",7,"1,00%",1,Anykščių  (Nr.2) apylinkė  
Eglė PETRAITIENĖ,"0,69%",4,"0,63%",1,Anykščių  (Nr.2) apylinkė  
Julius VESELKA,"34,58%",246,"32,17%",22,S.Daukanto  (Nr.1) apylinkė  
Janina GALIAUSKIENĖ,"19,35%",138,"18,01%",12,S.Daukanto  (Nr.1) apylinkė  
Loreta GRAUŽINIENĖ,"11,61%",79,"10,80%",11,S.Daukanto  (Nr.1) apylinkė  
Juozas ARMANAVIČIUS,"9,55%",67,"8,88%",7,S.Daukanto  (Nr.1) apylinkė  
Arūnas JASAITIS,"7,61%",54,"7,08%",5,S.Daukanto  (Nr.1) apylinkė  
Darius GUTAUSKAS,"6,32%",48,"5,88%",1,S.Daukanto  (Nr.1) apylinkė  
Elena MIRINAVIČIENĖ,"3,74%",25,"3,48%",4,S.Daukanto  (Nr.1) apylinkė  
Alvydas RAMANAUSKAS,"3,35%",24,"3,12%",2,S.Daukanto  (Nr.1) apylinkė  
Galina CHATKEVIČ,"1,29%",9,"1,20%",1,S.Daukanto  (Nr.1) apylinkė  
Lina SUKACKIENĖ,"2,19%",17,"2,04%",0,S.Daukanto  (Nr.1) apylinkė  
Eglė PETRAITIENĖ,"0,39%",3,"0,36%",0,S.Daukanto  (Nr.1) apylinkė  
Bronius PAUŽA,"23,70%",260,"22,49%",31,Vytauto Didžiojo  (Nr.30) apylinkė  
Saulius LAPĖNAS,"27,69%",300,"26,28%",40,Vytauto Didžiojo  (Nr.30) apylinkė  
Edvardas STRONČIKAS,"17,51%",185,"16,62%",30,Vytauto Didžiojo  (Nr.30) apylinkė  
Algirdas GUDAITIS,"10,67%",119,"10,12%",12,Vytauto Didžiojo  (Nr.30) apylinkė  
Vitalijus KARAKORSKIS,"5,62%",66,"5,33%",3,Vytauto Didžiojo  (Nr.30) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"4,56%",52,"4,33%",4,Vytauto Didžiojo  (Nr.30) apylinkė  
Gintaris STOŠKUS,"5,54%",66,"5,26%",2,Vytauto Didžiojo  (Nr.30) apylinkė  
Vitalija PETRAITIENĖ,"1,95%",21,"1,85%",3,Vytauto Didžiojo  (Nr.30) apylinkė  
Aldona GUDŽIŪNIENĖ,"0,81%",8,"0,77%",2,Vytauto Didžiojo  (Nr.30) apylinkė  
Eglija VAITKEVIČĖ,"0,24%",2,"0,23%",1,Vytauto Didžiojo  (Nr.30) apylinkė  
Aleksandras MOLIBOGA,"1,71%",21,"1,62%",0,Vytauto Didžiojo  (Nr.30) apylinkė  
Bronius PAUŽA,"23,47%",267,"21,77%",13,Vydūno  (Nr.29) apylinkė  
Saulius LAPĖNAS,"24,31%",263,"22,55%",27,Vydūno  (Nr.29) apylinkė  
Edvardas STRONČIKAS,"16,51%",186,"15,32%",11,Vydūno  (Nr.29) apylinkė  
Algirdas GUDAITIS,"12,91%",144,"11,98%",10,Vydūno  (Nr.29) apylinkė  
Vitalijus KARAKORSKIS,"6,29%",68,"5,83%",7,Vydūno  (Nr.29) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"5,53%",55,"5,13%",11,Vydūno  (Nr.29) apylinkė  
Gintaris STOŠKUS,"5,28%",60,"4,90%",3,Vydūno  (Nr.29) apylinkė  
Vitalija PETRAITIENĖ,"1,76%",19,"1,63%",2,Vydūno  (Nr.29) apylinkė  
Aldona GUDŽIŪNIENĖ,"1,59%",17,"1,48%",2,Vydūno  (Nr.29) apylinkė  
Eglija VAITKEVIČĖ,"0,84%",10,"0,78%",0,Vydūno  (Nr.29) apylinkė  
Aleksandras MOLIBOGA,"1,51%",18,"1,40%",0,Vydūno  (Nr.29) apylinkė  
Bronius PAUŽA,"25,33%",244,"24,03%",22,Dariaus ir Girėno  (Nr.28) apylinkė  
Saulius LAPĖNAS,"23,62%",219,"22,40%",29,Dariaus ir Girėno  (Nr.28) apylinkė  
Edvardas STRONČIKAS,"16,29%",155,"15,45%",16,Dariaus ir Girėno  (Nr.28) apylinkė  
Algirdas GUDAITIS,"12,86%",119,"12,20%",16,Dariaus ir Girėno  (Nr.28) apylinkė  
Vitalijus KARAKORSKIS,"6,29%",63,"5,96%",3,Dariaus ir Girėno  (Nr.28) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"5,71%",50,"5,42%",10,Dariaus ir Girėno  (Nr.28) apylinkė  
Gintaris STOŠKUS,"5,71%",53,"5,42%",7,Dariaus ir Girėno  (Nr.28) apylinkė  
Vitalija PETRAITIENĖ,"1,62%",14,"1,54%",3,Dariaus ir Girėno  (Nr.28) apylinkė  
Aldona GUDŽIŪNIENĖ,"0,48%",5,"0,45%",0,Dariaus ir Girėno  (Nr.28) apylinkė  
Eglija VAITKEVIČĖ,"0,86%",7,"0,81%",2,Dariaus ir Girėno  (Nr.28) apylinkė  
Aleksandras MOLIBOGA,"1,24%",12,"1,17%",1,Dariaus ir Girėno  (Nr.28) apylinkė  
Bronius PAUŽA,"26,73%",125,"25,27%",14,Skirsnemunės  (Nr.27) apylinkė  
Saulius LAPĖNAS,"16,35%",75,"15,45%",10,Skirsnemunės  (Nr.27) apylinkė  
Edvardas STRONČIKAS,"13,85%",52,"13,09%",20,Skirsnemunės  (Nr.27) apylinkė  
Algirdas GUDAITIS,"12,50%",56,"11,82%",9,Skirsnemunės  (Nr.27) apylinkė  
Vitalijus KARAKORSKIS,"10,58%",55,"10,00%",0,Skirsnemunės  (Nr.27) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"7,12%",33,"6,73%",4,Skirsnemunės  (Nr.27) apylinkė  
Gintaris STOŠKUS,"5,19%",26,"4,91%",1,Skirsnemunės  (Nr.27) apylinkė  
Vitalija PETRAITIENĖ,"3,65%",19,"3,45%",0,Skirsnemunės  (Nr.27) apylinkė  
Aldona GUDŽIŪNIENĖ,"1,15%",5,"1,09%",1,Skirsnemunės  (Nr.27) apylinkė  
Eglija VAITKEVIČĖ,"1,35%",6,"1,27%",1,Skirsnemunės  (Nr.27) apylinkė  
Aleksandras MOLIBOGA,"1,54%",8,"1,45%",0,Skirsnemunės  (Nr.27) apylinkė  
Bronius PAUŽA,"14,78%",25,"13,60%",9,Vaidilų  (Nr.27) apylinkė  
Saulius LAPĖNAS,"7,83%",17,"7,20%",1,Vaidilų  (Nr.27) apylinkė  
Edvardas STRONČIKAS,"27,39%",45,"25,20%",18,Vaidilų  (Nr.27) apylinkė  
Algirdas GUDAITIS,"11,30%",18,"10,40%",8,Vaidilų  (Nr.27) apylinkė  
Vitalijus KARAKORSKIS,"16,09%",32,"14,80%",5,Vaidilų  (Nr.27) apylinkė  
Vidmanta MARCINKEVIČIENĖ,"8,26%",14,"7,60%",5,Vaidilų  (Nr.27) apylinkė  
Gintaris STOŠKUS,"3,48%",6,"3,20%",2,Vaidilų  (Nr.27) apylinkė  
Vitalija PETRAITIENĖ,"2,17%",5,"2,00%",0,Vaidilų  (Nr.27) apylinkė  
Aldona GUDŽIŪNIENĖ,"3,48%",6,"3,20%",2,Vaidilų  (Nr.27) apylinkė  
Eglija VAITKEVIČĖ,"4,35%",7,"4,00%",3,Vaidilų  (Nr.27) apylinkė  
Aleksandras MOLIBOGA,"0,87%",1,"0,80%",1,Vaidilų  (Nr.27) apylinkė  
Bronius PAUŽA,"27,86%",62,"25,80%",11,Pilies  (Nr.26) apylinkė  
Saulius LAPĖNAS,"21,76%",48,"20,14%",9,Pilies  (Nr.26) apylinkė  
