apygarda,nuo_galiojanciu_biuleteniu,partija,apylinkese,pastu,apylinke
Vilkaviškio (Nr.68) rinkimų apygarda,"3,80%",Partija Tvarka ir teisingumas,2,1,Vartų (Nr.41) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"34,18%",Lietuvos socialdemokratų partija,22,5,Vartų (Nr.41) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,53%",Koalicija Darbo partija + jaunimas,2,0,Vartų (Nr.41) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"7,59%",Lietuvos Respublikos liberalų sąjūdis,3,3,Vartų (Nr.41) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Liberalų ir centro sąjunga,0,0,Vartų (Nr.41) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Lietuvos lenkų rinkimų akcija,0,0,Vartų (Nr.41) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,53%",Lietuvos valstiečių liaudininkų sąjunga,2,0,Vartų (Nr.41) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,27%",Naujoji sąjunga (socialliberalai),1,0,Vartų (Nr.41) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%","""Fronto"" partija",0,0,Vartų (Nr.41) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%","Partija ""Jaunoji Lietuva""",0,0,Vartų (Nr.41) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Pilietinės demokratijos partija,0,0,Vartų (Nr.41) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,27%",Lietuvos rusų sąjunga,1,0,Vartų (Nr.41) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"3,80%",Lietuvos socialdemokratų sąjunga,3,0,Vartų (Nr.41) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,27%",Lietuvos centro partija,1,0,Vartų (Nr.41) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"20,40%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,48,13,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"8,70%",Tautos prisikėlimo partija,26,0,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"8,70%",Partija Tvarka ir teisingumas,24,2,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"39,13%",Lietuvos socialdemokratų partija,93,24,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"5,02%",Koalicija Darbo partija + jaunimas,14,1,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"5,35%",Lietuvos Respublikos liberalų sąjūdis,16,0,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Liberalų ir centro sąjunga,0,0,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,33%",Lietuvos lenkų rinkimų akcija,0,1,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,33%",Lietuvos valstiečių liaudininkų sąjunga,1,0,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,67%",Naujoji sąjunga (socialliberalai),5,0,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"4,01%","""Fronto"" partija",11,1,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,34%","Partija ""Jaunoji Lietuva""",4,0,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,01%",Pilietinės demokratijos partija,5,1,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Lietuvos rusų sąjunga,0,0,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,01%",Lietuvos socialdemokratų sąjunga,5,1,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,00%",Lietuvos centro partija,2,1,Vištyčio (Nr.40) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"11,85%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,9,7,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"10,37%",Tautos prisikėlimo partija,9,5,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"14,07%",Partija Tvarka ir teisingumas,18,1,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"51,11%",Lietuvos socialdemokratų partija,61,8,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,96%",Koalicija Darbo partija + jaunimas,2,2,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Lietuvos Respublikos liberalų sąjūdis,0,0,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,74%",Liberalų ir centro sąjunga,1,0,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Lietuvos lenkų rinkimų akcija,0,0,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,74%",Lietuvos valstiečių liaudininkų sąjunga,0,1,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,22%",Naujoji sąjunga (socialliberalai),1,2,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,48%","""Fronto"" partija",1,1,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,48%","Partija ""Jaunoji Lietuva""",1,1,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,74%",Pilietinės demokratijos partija,1,0,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Lietuvos rusų sąjunga,0,0,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,48%",Lietuvos socialdemokratų sąjunga,2,0,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,74%",Lietuvos centro partija,0,1,Kaupiškių (Nr.39) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"18,48%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,50,6,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"17,82%",Tautos prisikėlimo partija,52,2,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"11,22%",Partija Tvarka ir teisingumas,33,1,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"27,06%",Lietuvos socialdemokratų partija,74,8,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"11,55%",Koalicija Darbo partija + jaunimas,33,2,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"3,30%",Lietuvos Respublikos liberalų sąjūdis,10,0,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,33%",Liberalų ir centro sąjunga,1,0,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,33%",Lietuvos lenkų rinkimų akcija,1,0,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,64%",Lietuvos valstiečių liaudininkų sąjunga,7,1,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,97%",Naujoji sąjunga (socialliberalai),7,2,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,98%","""Fronto"" partija",6,0,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,66%","Partija ""Jaunoji Lietuva""",2,0,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,33%",Pilietinės demokratijos partija,0,1,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,33%",Lietuvos rusų sąjunga,1,0,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,99%",Lietuvos socialdemokratų sąjunga,2,1,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Lietuvos centro partija,0,0,Gražiškių (Nr.38) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"7,27%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,17,3,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"32,00%",Tautos prisikėlimo partija,88,0,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"14,18%",Partija Tvarka ir teisingumas,38,1,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"22,18%",Lietuvos socialdemokratų partija,58,3,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"9,82%",Koalicija Darbo partija + jaunimas,25,2,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"5,45%",Lietuvos Respublikos liberalų sąjūdis,15,0,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,55%",Liberalų ir centro sąjunga,7,0,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Lietuvos lenkų rinkimų akcija,0,0,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,73%",Lietuvos valstiečių liaudininkų sąjunga,1,1,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,09%",Naujoji sąjunga (socialliberalai),2,1,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,73%","""Fronto"" partija",2,0,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,73%","Partija ""Jaunoji Lietuva""",2,0,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,36%",Pilietinės demokratijos partija,0,1,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,36%",Lietuvos rusų sąjunga,1,0,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,82%",Lietuvos socialdemokratų sąjunga,5,0,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,73%",Lietuvos centro partija,0,2,Uosių (Nr.37) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"12,42%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,18,2,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"27,95%",Tautos prisikėlimo partija,43,2,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"7,45%",Partija Tvarka ir teisingumas,12,0,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"21,12%",Lietuvos socialdemokratų partija,30,4,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"13,04%",Koalicija Darbo partija + jaunimas,19,2,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"4,35%",Lietuvos Respublikos liberalų sąjūdis,5,2,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Liberalų ir centro sąjunga,0,0,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Lietuvos lenkų rinkimų akcija,0,0,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,48%",Lietuvos valstiečių liaudininkų sąjunga,2,2,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"3,11%",Naujoji sąjunga (socialliberalai),5,0,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,86%","""Fronto"" partija",3,0,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"3,73%","Partija ""Jaunoji Lietuva""",6,0,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,24%",Pilietinės demokratijos partija,2,0,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Lietuvos rusų sąjunga,0,0,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,62%",Lietuvos socialdemokratų sąjunga,1,0,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,62%",Lietuvos centro partija,0,1,Serdokų (Nr.36) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"7,97%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,6,5,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"19,57%",Tautos prisikėlimo partija,25,2,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"18,84%",Partija Tvarka ir teisingumas,20,6,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"36,96%",Lietuvos socialdemokratų partija,46,5,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,90%",Koalicija Darbo partija + jaunimas,3,1,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,17%",Lietuvos Respublikos liberalų sąjūdis,2,1,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,45%",Liberalų ir centro sąjunga,2,0,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Lietuvos lenkų rinkimų akcija,0,0,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,45%",Lietuvos valstiečių liaudininkų sąjunga,2,0,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"4,35%",Naujoji sąjunga (socialliberalai),6,0,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%","""Fronto"" partija",0,0,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,72%","Partija ""Jaunoji Lietuva""",1,0,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,72%",Pilietinės demokratijos partija,1,0,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Lietuvos rusų sąjunga,0,0,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,17%",Lietuvos socialdemokratų sąjunga,2,1,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,72%",Lietuvos centro partija,1,0,Klampučių (Nr.35) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"14,55%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,54,10,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"24,77%",Tautos prisikėlimo partija,102,7,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"10,23%",Partija Tvarka ir teisingumas,41,4,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"25,23%",Lietuvos socialdemokratų partija,92,19,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"5,68%",Koalicija Darbo partija + jaunimas,24,1,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"5,00%",Lietuvos Respublikos liberalų sąjūdis,20,2,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,36%",Liberalų ir centro sąjunga,5,1,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Lietuvos lenkų rinkimų akcija,0,0,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,05%",Lietuvos valstiečių liaudininkų sąjunga,9,0,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,05%",Naujoji sąjunga (socialliberalai),9,0,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,50%","""Fronto"" partija",10,1,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,95%","Partija ""Jaunoji Lietuva""",11,2,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,45%",Pilietinės demokratijos partija,0,2,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,23%",Lietuvos rusų sąjunga,1,0,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,27%",Lietuvos socialdemokratų sąjunga,10,0,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,68%",Lietuvos centro partija,2,1,Karalių (Nr.34) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"10,14%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,47,11,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"18,36%",Tautos prisikėlimo partija,97,8,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"7,87%",Partija Tvarka ir teisingumas,36,9,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"46,50%",Lietuvos socialdemokratų partija,222,44,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"5,42%",Koalicija Darbo partija + jaunimas,29,2,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,40%",Lietuvos Respublikos liberalų sąjūdis,7,1,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,87%",Liberalų ir centro sąjunga,5,0,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Lietuvos lenkų rinkimų akcija,0,0,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,87%",Lietuvos valstiečių liaudininkų sąjunga,5,0,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,27%",Naujoji sąjunga (socialliberalai),13,0,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,10%","""Fronto"" partija",11,1,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,70%","Partija ""Jaunoji Lietuva""",4,0,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,22%",Pilietinės demokratijos partija,5,2,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,17%",Lietuvos rusų sąjunga,1,0,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,22%",Lietuvos socialdemokratų sąjunga,6,1,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,87%",Lietuvos centro partija,3,2,Alvito (Nr.33) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"12,02%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,18,7,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"19,23%",Tautos prisikėlimo partija,36,4,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"11,06%",Partija Tvarka ir teisingumas,20,3,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"26,44%",Lietuvos socialdemokratų partija,51,4,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"9,13%",Koalicija Darbo partija + jaunimas,18,1,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"6,25%",Lietuvos Respublikos liberalų sąjūdis,10,3,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,96%",Liberalų ir centro sąjunga,2,0,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Lietuvos lenkų rinkimų akcija,0,0,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"4,81%",Lietuvos valstiečių liaudininkų sąjunga,10,0,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,96%",Naujoji sąjunga (socialliberalai),2,0,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,88%","""Fronto"" partija",6,0,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,88%","Partija ""Jaunoji Lietuva""",6,0,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,92%",Pilietinės demokratijos partija,3,1,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,48%",Lietuvos rusų sąjunga,1,0,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,48%",Lietuvos socialdemokratų sąjunga,1,0,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,48%",Lietuvos centro partija,1,0,Ramoniškių (Nr.32) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"18,27%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,147,26,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"18,48%",Tautos prisikėlimo partija,164,11,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"11,09%",Partija Tvarka ir teisingumas,86,19,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"24,92%",Lietuvos socialdemokratų partija,211,25,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"6,76%",Koalicija Darbo partija + jaunimas,56,8,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"4,01%",Lietuvos Respublikos liberalų sąjūdis,33,5,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,01%",Liberalų ir centro sąjunga,18,1,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,11%",Lietuvos lenkų rinkimų akcija,1,0,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,11%",Lietuvos valstiečių liaudininkų sąjunga,15,5,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,90%",Naujoji sąjunga (socialliberalai),17,1,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"4,33%","""Fronto"" partija",33,8,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,43%","Partija ""Jaunoji Lietuva""",21,2,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,37%",Pilietinės demokratijos partija,11,2,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,00%",Lietuvos rusų sąjunga,0,0,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,69%",Lietuvos socialdemokratų sąjunga,15,1,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,53%",Lietuvos centro partija,3,2,Pilviškių (Nr.31) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"6,10%",Tėvynės sąjunga - Lietuvos krikščionys demokratai,15,0,Paežerių (Nr.30) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"32,52%",Tautos prisikėlimo partija,73,7,Paežerių (Nr.30) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"14,23%",Partija Tvarka ir teisingumas,29,6,Paežerių (Nr.30) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"23,58%",Lietuvos socialdemokratų partija,55,3,Paežerių (Nr.30) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"6,91%",Koalicija Darbo partija + jaunimas,13,4,Paežerių (Nr.30) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"1,22%",Lietuvos Respublikos liberalų sąjūdis,3,0,Paežerių (Nr.30) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,81%",Liberalų ir centro sąjunga,1,1,Paežerių (Nr.30) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"0,41%",Lietuvos lenkų rinkimų akcija,1,0,Paežerių (Nr.30) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,85%",Lietuvos valstiečių liaudininkų sąjunga,6,1,Paežerių (Nr.30) rinkimų apylinkė
Vilkaviškio (Nr.68) rinkimų apygarda,"2,03%",Naujoji sąjunga (socialliberalai),5,0,Paežerių (Nr.30) rinkimų apylinkė
